Building Address,"Building Type
(Commercial Buildings1, 
Healthcare Facilities2, 
Educational Institutions3)","Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Public Sector,Year Obtained TOP/CSC,Green Mark Year of Award,Green Mark Rating,"Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Gross Floor Area (m2),Percentage of Air-conditioned Floor Area (%),Average Monthly Building Occupancy Rate (%) ,Number of Hotel Rooms,Type of Air-conditioning System,"Age of Newest Chiller/Air-conditioner
",Centralised Air-conditioning Plant Efficiency (kW/RT),Year of Last Chiller Plant Audit/ Health Check,Percentage Usage of LED (%),Installation of Solar PV (Y/N),"2016
Energy Use Intensity (EUI)
(kWh/m2.yr) ","2017
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ","2018
Energy Use Intensity (EUI)
(kWh/m2.yr) ",EUI Performance Compared to the Previous Year (Improve/ Worsen),"Benchmarking - 
EUI Quartile",Voluntary Disclosure,postal_code,lat,lon,plan_area
"160 CHANGI ROAD, SINGAPORE 419728",Mixed Development,Small,No,2017.0,,,No,5036.0,0.9531374106433678,50.0,,Air Cooled Chilled Water Plant,1.0,,,70.0,N,11.405877680698968,81.03752978554408,104.93411239078632,Worsened,Top Quartile,Y,419728,1.3167232592555,103.902443640278,GEYLANG
"180 KITCHENER ROAD, SINGAPORE 208539",Retail,Large,No,2009.0,2018.0,Platinum,Yes,65640.0,0.620460085313833,93.0,,Water Cooled Chilled Water Plant,8.0,0.65,2018.0,77.0,Y,384.89590950639854,382.19558957952466,365.3450639853748,Improved,2nd Quartile,Y,208539,1.31138865009152,103.856626209616,KALLANG
"9 RAFFLES PLACE, SINGAPORE 048619",Office,Large,No,1998.0,2018.0,Platinum,Yes,102356.0,0.797725585212396,80.0,,Water Cooled Chilled Water Plant,3.0,0.59,2017.0,4.0,N,242.67693149400134,212.37415491031302,182.99209621321663,Improved,2nd Quartile,Y,048619,1.28348363276903,103.850574036014,DOWNTOWN CORE
"1 MAGAZINE ROAD, SINGAPORE 059567",Office,Large,No,1999.0,2017.0,Platinum,Yes,15769.0,0.9005009829412137,93.0,,Water Cooled Chilled Water Plant,4.0,0.65,2017.0,50.0,N,197.4412600672205,202.75243388927643,181.48447143128922,Improved,2nd Quartile,Y,059567,1.28842848666711,103.84230028531,SINGAPORE RIVER
"11 TANJONG KATONG ROAD, SINGAPORE 437157",Retail,Large,No,2014.0,2015.0,Gold,Yes,28938.0,1.0,90.0,,Water Cooled Chilled Water Plant,1.0,0.62,2016.0,31.0,N,462.6812150114037,430.67672264842076,396.015066694312,Improved,2nd Quartile,Y,437157,1.31461849889242,103.894738004496,GEYLANG
"101 THOMSON ROAD, SINGAPORE 307591",Mixed Development,Large,No,1984.0,,,No,65933.0,0.97779564102953,90.0,,Water Cooled Chilled Water Plant,10.0,,,3.0,N,284.4915254879954,281.3177392201174,276.82682040859663,Improved,3rd Quartile,Y,307591,1.31699088160901,103.843866811519,NOVENA
"731 NORTH BRIDGE ROAD, SINGAPORE 198699",Office,Small,No,2003.0,,,No,385.0,0.935064935064935,100.0,,"Others (Split Units, Unitary Systems)",10.0,,,0.0,N,200.7168831168831,196.8541038961039,220.26537662337662,Worsened,3rd Quartile,Y,198699,1.30290833120091,103.858792868088,ROCHOR
"50 CUSCADEN ROAD, SINGAPORE 249724",Office,Small,No,1980.0,,,No,7372.0,0.9716494845360825,90.0,,"Others (Split Units, Unitary Systems)",4.0,,,8.0,N,312.1983166033641,277.93354991861094,268.7614853499729,Improved,Bottom Quartile,Y,249724,1.30572373922754,103.82810604464,ORCHARD
"69 KEONG SAIK ROAD, SINGAPORE 089165",Hotel,Small,No,1997.0,,,No,757.0,1.0,75.0,25.0,"Others (Split Units, Unitary Systems)",3.0,,,100.0,N,221.22721268163804,234.47373844121532,228.19495376486128,Improved,2nd Quartile,Y,089165,1.28103483105731,103.841648101564,OUTRAM
"50 SOUTH BRIDGE ROAD, SINGAPORE 058682",Office,Small,No,2018.0,,,No,1006.0,0.8697813121272365,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,100.0,N,129.06160164271049,6.5168986083499005,54.32984095427435,Worsened,Top Quartile,Y,058682,1.28769482359984,103.848230329512,SINGAPORE RIVER
"1 LORONG 14 GEYLANG, SINGAPORE 398913",Hotel,Small,No,1998.0,,,No,430.0,0.6976744186046512,70.0,18.0,"Others (Split Units, Unitary Systems)",18.0,,,100.0,N,204.8216976744186,195.19867441860464,194.19762790697675,Improved,2nd Quartile,Y,398913,1.31219386250005,103.879175955663,GEYLANG
"15 LORONG 22 GEYLANG, SINGAPORE 398673",Hotel,Small,No,1993.0,,,No,471.0,1.0,80.0,16.0,"Others (Split Units, Unitary Systems)",16.0,,,100.0,N,208.95662420382166,188.21740976645435,202.71180467091293,Worsened,2nd Quartile,Y,398673,1.31231680640985,103.882412116592,GEYLANG
"231 OUTRAM ROAD, SINGAPORE 169040",Hotel,Small,No,2011.0,,,No,2324.0,0.8605851979345955,78.0,41.0,"Others (Split Units, Unitary Systems)",7.0,,,70.0,N,415.3619836488812,400.02707401032706,393.64835628227195,Improved,Bottom Quartile,Y,169040,1.28432210840071,103.83501003183,BUKIT MERAH
"33 LORONG 12 GEYLANG, SINGAPORE 399007",Retail,Small,No,1998.0,,,No,400.0,1.0,70.0,33.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,372.09055,343.51475,360.99285000000003,Worsened,3rd Quartile,Y,399007,1.3102273446243,103.878806728685,GEYLANG
"759 MOUNTBATTEN ROAD, SINGAPORE 437761",Hotel,Small,No,1950.0,,,No,1100.0,0.8181818181818182,70.0,41.0,"Others (Split Units, Unitary Systems)",6.0,,,20.0,N,162.38732727272728,150.90327272727274,184.7438909090909,Worsened,Top Quartile,Y,437761,1.30075433417916,103.891474423485,MARINE PARADE
"1 LORONG 10 GEYLANG, SINGAPORE 399035",Hotel,Small,No,1998.0,,,No,555.0,1.0,70.0,25.0,"Others (Split Units, Unitary Systems)",0.0,,,0.0,N,313.5811531531532,268.68041441441443,223.21466666666666,Improved,2nd Quartile,Y,399035,1.31192211293165,103.877736760633,GEYLANG
"1 PARLIAMENT PLACE, SINGAPORE 178880",Office,Large,Yes,1999.0,2015.0,Platinum,Yes,19765.0,0.8231216797369086,60.0,,Water Cooled Chilled Water Plant,4.0,0.67,2017.0,21.0,N,134.26268656716417,127.17559827978751,132.2646344548444,Worsened,Top Quartile,Y,178880,1.28881003163657,103.850349009573,DOWNTOWN CORE
"195 SERANGOON ROAD, SINGAPORE 218067",Hotel,Small,No,1969.0,,,No,2162.0,0.9995374653098983,100.0,65.0,"Others (Split Units, Unitary Systems)",3.0,,,80.0,N,247.5940749306198,247.1183672525439,252.93706290471783,Worsened,2nd Quartile,Y,218067,1.30917901197119,103.853224450863,ROCHOR
"152 BEACH ROAD, SINGAPORE 189721",Office,Large,No,1990.0,,,No,105307.0,0.6697180624269992,90.0,,Water Cooled Chilled Water Plant,7.0,0.55,2016.0,10.0,N,316.91961546096474,200.83301679850342,190.42001956185248,Improved,3rd Quartile,Y,189721,1.29881253234423,103.859342322482,DOWNTOWN CORE
"9 JALAN BESAR, SINGAPORE 208786",Hotel,Small,No,2010.0,,,No,760.0,0.7894736842105263,60.0,22.0,"Others (Split Units, Unitary Systems)",1.0,,,25.0,N,208.07290789473686,179.8335789473684,211.09292105263157,Worsened,2nd Quartile,Y,208786,1.30392258346096,103.854120521992,ROCHOR
"87 BEACH ROAD, SINGAPORE 189695",Office,Small,No,1983.0,,,No,2206.0,0.7910244786944697,96.0,,"Others (Split Units, Unitary Systems)",6.0,,,20.0,N,205.41359927470535,184.3489936536718,225.28632819582955,Worsened,3rd Quartile,Y,189695,1.297402484453,103.856646124201,DOWNTOWN CORE
"805 BUKIT TIMAH ROAD, SINGAPORE 279883",Retail,Small,No,1988.0,,,No,1323.0,0.9863945578231292,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,50.0,N,445.5870143613001,403.0904081632653,400.27169312169315,Improved,3rd Quartile,Y,279883,1.33143049540259,103.79500253329,BUKIT TIMAH
"77 TIONG BAHRU ROAD, SINGAPORE 168727",Hotel,Small,No,2009.0,,,No,1244.0,0.8287781350482315,75.0,50.0,"Others (Split Units, Unitary Systems)",9.0,,,15.0,N,421.6868810289389,422.41639871382637,411.94700964630226,Improved,Bottom Quartile,Y,168727,1.2851017660182,103.833574206012,BUKIT MERAH
"557 BUKIT TIMAH ROAD, SINGAPORE 269694",Retail,Small,No,1990.0,,,No,2250.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",5.0,,,95.0,N,472.21112444444447,444.68604000000005,508.73527111111116,Worsened,Bottom Quartile,Y,269694,1.32304666837659,103.811160666737,BUKIT TIMAH
"19 LORONG 22 GEYLANG, SINGAPORE 398676",Hotel,Small,No,1999.0,,,No,1736.0,1.0,50.0,97.0,"Others (Split Units, Unitary Systems)",3.0,,,100.0,N,308.4404205069124,288.06141705069126,312.6477822580645,Worsened,3rd Quartile,Y,398676,1.31219824188241,103.882461217043,GEYLANG
"137 MARKET STREET, SINGAPORE 048943",Office,Small,No,2011.0,2009.0,GoldPlus,Yes,5030.0,0.8,100.0,,"Others (Split Units, Unitary Systems)",7.0,,,5.0,N,169.3111829025845,171.15733598409543,165.32483896620278,Improved,2nd Quartile,Y,048943,1.28222967286645,103.850519734066,DOWNTOWN CORE
"36 TEMPLE STREET, SINGAPORE 058581",Hotel,Small,No,1991.0,,,No,960.0,0.7260416666666667,74.0,42.0,"Others (Split Units, Unitary Systems)",4.0,,,25.0,N,321.32140625,335.6343229166667,274.3901875,Improved,3rd Quartile,Y,058581,1.28318399946992,103.843908900413,OUTRAM
"163 TRAS STREET, SINGAPORE 079024",Office,Small,No,1974.0,,,No,3225.0,0.7097674418604651,100.0,,"Others (Split Units, Unitary Systems)",3.0,,,5.0,N,115.71565891472868,105.92682170542636,105.94170542635659,Worsened,Top Quartile,Y,079024,1.27471816977998,103.843991144474,DOWNTOWN CORE
"100 CECIL STREET, SINGAPORE 069532",Office,Small,No,1993.0,,,No,5824.0,0.6988324175824175,79.0,,Air Cooled Chilled Water Plant,6.0,,,30.0,N,181.6775412087912,185.64338255494508,168.49630494505493,Improved,2nd Quartile,Y,069532,1.2811356333691,103.848958262081,DOWNTOWN CORE
"380 RACE COURSE ROAD, SINGAPORE 218702",Hotel,Small,No,2001.0,,,No,1490.0,1.0,60.0,55.0,"Others (Split Units, Unitary Systems)",4.0,,,100.0,N,107.69907382550335,102.50463758389262,109.50587248322148,Worsened,Top Quartile,Y,218702,1.31503288314683,103.85727154919,KALLANG
"163 KITCHENER ROAD, SINGAPORE 208538",Hotel,Small,No,1995.0,,,No,1909.0,0.9004714510214772,80.0,73.0,Water Cooled Packaged Unit,8.0,,,0.0,N,171.40285489785228,174.58745416448403,170.3401257202724,Improved,Top Quartile,Y,208538,1.31025277436121,103.856575326929,KALLANG
"22 BUKIT PASOH ROAD, SINGAPORE 089836",Office,Small,No,1996.0,,,No,4331.0,0.6765181251443084,80.0,,"Others (Split Units, Unitary Systems)",2.0,,,100.0,N,71.3668898637728,78.66797968136689,68.26037635649965,Improved,Top Quartile,Y,089836,1.27918441604346,103.84084739584,OUTRAM
"84 SOUTH BRIDGE ROAD, SINGAPORE 058714",Office,Small,No,1977.0,,,No,1086.0,0.6896869244935543,100.0,,"Others (Split Units, Unitary Systems)",4.0,,,20.0,N,90.20902394106814,86.0147329650092,82.4659300184162,Improved,Top Quartile,Y,058714,1.28679788961392,103.847735348073,SINGAPORE RIVER
"74 SOUTH BRIDGE ROAD, SINGAPORE 058704",Office,Small,No,1997.0,,,No,337.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,206.18100890207714,169.69436201780417,163.1186943620178,Improved,2nd Quartile,Y,058704,1.28700867262692,103.847860164478,SINGAPORE RIVER
"80 SOUTH BRIDGE ROAD, SINGAPORE 058710",Office,Small,No,1976.0,,,No,291.0,0.8934707903780069,100.0,,"Others (Split Units, Unitary Systems)",11.0,,,0.0,N,904.9038487972509,895.4567010309278,834.1420274914088,Improved,Bottom Quartile,Y,058710,1.28687554213386,103.847794080986,SINGAPORE RIVER
"77 HIGH STREET, SINGAPORE 179433",Office,Small,No,1975.0,,,No,10418.0,1.0,90.0,,Water Cooled Chilled Water Plant,38.0,0.8,2017.0,90.0,N,147.58100403148396,158.36927625263968,140.95174697638703,Improved,2nd Quartile,Y,179433,1.2904540746831,103.849358869172,DOWNTOWN CORE
"1 HARBOURFRONT WALK, SINGAPORE 098585",Retail,Large,No,2006.0,2016.0,Gold,Yes,139853.0,0.9499974973722408,98.0,,Water Cooled Chilled Water Plant,7.0,0.79,2016.0,0.0,N,520.7659612593224,531.3860943276154,510.81145273966234,Improved,3rd Quartile,Y,098585,1.26427434061441,103.822596222416,BUKIT MERAH
"393F UPPER CHANGI ROAD, SINGAPORE 486917",Hotel,Small,No,1956.0,,,No,270.0,1.0,65.0,19.0,"Others (Split Units, Unitary Systems)",9.0,,,0.0,N,337.42962962962963,290.6,251.3037037037037,Improved,2nd Quartile,Y,486917,1.3367423507794,103.954974043289,TAMPINES
"28 NORTH CANAL ROAD, SINGAPORE 059284",Office,Small,No,2004.0,,,No,1865.0,0.618230563002681,100.0,,"Others (Split Units, Unitary Systems)",5.0,,,100.0,N,228.08198391420913,220.5162252010724,220.4289436997319,Improved,3rd Quartile,Y,059284,1.28688527735672,103.847519656729,SINGAPORE RIVER
"810 GEYLANG ROAD, SINGAPORE 409286",Retail,Large,No,1981.0,,,No,33782.0,0.7104375111005861,92.0,,Water Cooled Chilled Water Plant,10.0,,,100.0,N,175.4257613521994,178.2531466461429,169.84285862293527,Improved,Top Quartile,Y,409286,1.31470866320366,103.893508573389,GEYLANG
"165 KITCHENER ROAD, SINGAPORE 208532",Hotel,Small,No,2003.0,,,No,2531.0,0.3555906756222837,85.0,68.0,Air Cooled Chilled Water Plant,22.0,,,100.0,N,292.76644804425126,273.1987672856578,284.51700908731726,Worsened,3rd Quartile,Y,208532,1.3104761806261,103.856286558041,KALLANG
"43 JALAN BESAR, SINGAPORE 208804",Hotel,Small,No,1953.0,,,No,817.0,0.587515299877601,65.0,32.0,"Others (Split Units, Unitary Systems)",10.0,,,100.0,N,395.1233047735618,429.2610036719706,425.01115055079555,Improved,Bottom Quartile,Y,208804,1.30473699686141,103.854663976766,ROCHOR
"144 UPPER BUKIT TIMAH ROAD, SINGAPORE 588177",Retail,Large,No,1979.0,,,No,42262.0,0.4335809947470541,97.0,,Water Cooled Chilled Water Plant,0.0,0.58,2018.0,17.0,N,160.7466546779613,162.9814019686716,124.18810373385075,Improved,Top Quartile,Y,588177,1.34239508820554,103.776468301093,BUKIT TIMAH
"140 HILL STREET, SINGAPORE 179369",Office,Large,Yes,1999.0,2017.0,Platinum,Yes,26137.0,0.9268469985078625,95.0,,Air Cooled Chilled Water Plant,17.0,1.52,2016.0,49.0,N,234.94199793396334,209.04304243027127,134.03184183341622,Improved,Top Quartile,Y,179369,1.29097101454992,103.848283433386,MUSEUM
"18 HAVELOCK ROAD, SINGAPORE 059764",Office,Large,Yes,1990.0,2014.0,Platinum,Yes,32034.0,0.8222513579321971,80.0,,Water Cooled Chilled Water Plant,8.0,0.65,2014.0,91.0,N,132.87857713679216,134.3614771804957,137.81967159892616,Worsened,Top Quartile,Y,059764,1.2876382496479,103.843976681457,SINGAPORE RIVER
"1500 BENDEMEER ROAD, SINGAPORE 339946",Office,Large,Yes,2012.0,2016.0,Platinum,Yes,27069.0,0.6054896745354464,100.0,,Water Cooled Chilled Water Plant,3.0,0.54,2015.0,95.0,Y,134.985001292992,132.74520669400422,131.6948982230596,Improved,Top Quartile,Y,339946,1.32614386394012,103.869092979661,KALLANG
"12 QUEEN STREET, SINGAPORE 188553",Hotel,Large,No,1986.0,2016.0,Gold,Yes,12565.0,0.9152407481098289,80.0,231.0,Water Cooled Chilled Water Plant,8.0,1.24,2013.0,90.0,N,248.80708316752884,233.42144846796657,230.34305610823716,Improved,2nd Quartile,Y,188553,1.29755506526153,103.852228303832,ROCHOR
"301 SERANGOON ROAD, SINGAPORE 218224",Hotel,Small,No,1995.0,,,No,2842.0,0.9155524278676987,70.0,90.0,Air Cooled Chilled Water Plant,22.0,,,70.0,N,362.00323715693173,353.440960591133,330.5699190710767,Improved,3rd Quartile,Y,218224,1.31136670498575,103.854761539297,ROCHOR
"25A PERAK ROAD, SINGAPORE 208136",Hotel,Small,No,2008.0,,,No,834.0,0.9592326139088729,70.0,22.0,"Others (Split Units, Unitary Systems)",4.0,,,40.0,N,187.52095808383234,181.42958033573143,184.49717026378897,Worsened,Top Quartile,Y,208136,1.30552370913502,103.854089453626,ROCHOR
"50 TIONG BAHRU ROAD, SINGAPORE 168733",Hotel,Large,No,2016.0,,,No,10194.0,1.0,70.0,274.0,"Others (Split Units, Unitary Systems)",10.0,,,100.0,N,265.67461251716696,246.0362919364332,222.19994506572496,Improved,Top Quartile,Y,168733,1.28485721631277,103.834320617173,BUKIT MERAH
"133 CECIL STREET, SINGAPORE 069535",Office,Large,No,1985.0,2018.0,Certified,Yes,16122.0,0.7094653268825207,89.0,,Water Cooled Chilled Water Plant,7.0,0.88,2017.0,30.0,N,162.568985857834,147.03977484183105,138.07750279121697,Improved,2nd Quartile,Y,069535,1.28023616419184,103.849000148073,DOWNTOWN CORE
"25 BENCOOLEN STREET, SINGAPORE 189619",Hotel,Small,No,1985.0,,,No,4268.0,0.9723523898781631,75.0,130.0,Water Cooled Chilled Water Plant,13.0,,,85.0,N,367.91856607310217,366.3447422680413,366.5937394564199,Worsened,Bottom Quartile,Y,189619,1.29865335914993,103.849738235763,ROCHOR
"240 JALAN BESAR, SINGAPORE 208913",Hotel,Small,No,1997.0,,,No,1504.0,0.2559840425531915,60.0,42.0,"Others (Split Units, Unitary Systems)",6.0,,,50.0,N,248.90235372340427,243.3030585106383,251.3320944148936,Worsened,2nd Quartile,Y,208913,1.30942995093768,103.858161749318,KALLANG
"1 RAFFLES LINK, SINGAPORE 039393",Office,Large,No,1999.0,2018.0,GoldPlus,Yes,36280.0,0.8461411245865491,98.0,,Water Cooled Chilled Water Plant,20.0,0.68,2017.0,100.0,N,517.8518433406651,414.9833106394708,386.44194459757443,Improved,Bottom Quartile,Y,039393,1.2920291636627,103.855879205641,DOWNTOWN CORE
"25 SCOTTS ROAD, SINGAPORE 228220",Mixed Development,Large,No,1972.0,2013.0,Gold,Yes,47107.0,1.0,100.0,511.0,Water Cooled Chilled Water Plant,6.0,0.77,2010.0,81.0,N,281.9824187488059,279.5352919948203,273.2209650370433,Improved,3rd Quartile,Y,228220,1.30700148159343,103.83235806558,ORCHARD
"37 LORONG 8 GEYLANG, SINGAPORE 399099",Hotel,Small,No,1994.0,,,No,604.0,0.6920529801324503,65.0,27.0,"Others (Split Units, Unitary Systems)",6.0,,,0.0,N,69.41887417218543,96.14900662251655,117.58443708609272,Worsened,Top Quartile,Y,399099,1.31067429337999,103.877397280219,GEYLANG
"300 BEACH ROAD, SINGAPORE 199555",Office,Large,No,1992.0,2013.0,Platinum,Yes,62392.0,0.9342063085010899,90.0,,Water Cooled Chilled Water Plant,4.0,0.65,2018.0,42.0,N,126.31446863281,133.52265001923323,132.20937684318503,Improved,Top Quartile,Y,199555,1.30104742257427,103.862626110668,DOWNTOWN CORE
"4 LORONG 6 GEYLANG, SINGAPORE 399166",Hotel,Small,No,1999.0,,,No,860.0,0.6976744186046512,60.0,43.0,"Others (Split Units, Unitary Systems)",7.0,,,0.0,N,212.05317441860467,191.21651162790698,174.5046511627907,Improved,Top Quartile,Y,399166,1.31146438572052,103.876262185605,GEYLANG
"29 LORONG 4 GEYLANG, SINGAPORE 399281",Hotel,Small,No,1998.0,,,No,880.0,0.6818181818181818,60.0,48.0,"Others (Split Units, Unitary Systems)",4.0,,,0.0,N,260.68520454545455,234.71509090909092,224.3873068181818,Improved,2nd Quartile,Y,399281,1.31016070182565,103.876202861709,GEYLANG
"21 LORONG 22 GEYLANG, SINGAPORE 398678",Hotel,Small,No,1996.0,,,No,1400.0,0.6,60.0,47.0,"Others (Split Units, Unitary Systems)",1996.0,,,0.0,N,156.31217142857145,152.1772,138.6741357142857,Improved,Top Quartile,Y,398678,1.31205692542273,103.88245882555,GEYLANG
"141 MIDDLE ROAD, SINGAPORE 188976",Office,Small,No,1984.0,,,No,4192.0,1.0,100.0,,Water Cooled Chilled Water Plant,10.0,,,0.0,N,207.56336116412214,195.2251001908397,201.17796517175574,Worsened,3rd Quartile,Y,188976,1.29943775475739,103.85240273741,ROCHOR
"32 MAXWELL ROAD, SINGAPORE 069115",Office,Small,No,2009.0,,,No,7040.0,0.5113636363636364,75.0,1.0,"Others (Split Units, Unitary Systems)",2010.0,,,52.0,N,235.61526136363636,247.8393409090909,273.6620113636364,Worsened,Bottom Quartile,Y,069115,1.27748817305035,103.846222184202,DOWNTOWN CORE
"25 NORTH BRIDGE ROAD, SINGAPORE 179104",Office,Small,No,2009.0,,,No,6521.0,0.8894341358687318,100.0,,"Others (Split Units, Unitary Systems)",8.0,,,70.0,N,279.32853963362436,272.06256709093697,258.7709507744211,Improved,Bottom Quartile,Y,179104,1.29017120639075,103.849700617519,DOWNTOWN CORE
"70 EU TONG SEN STREET, SINGAPORE 059805",Retail,Small,No,1996.0,,,No,4993.0,0.8559983977568596,100.0,,Air Cooled Chilled Water Plant,3.0,,,35.0,N,371.5702984177849,374.96938714199877,360.0934908872421,Improved,3rd Quartile,Y,059805,1.28485600695181,103.843524943796,OUTRAM
"1 ROBINSON ROAD, SINGAPORE 048542",Office,Large,No,1993.0,2016.0,Certified,Yes,15276.0,0.9042943178842628,99.0,,Water Cooled Chilled Water Plant,4.0,0.84,2016.0,10.0,N,219.04450334469269,222.12880989787905,232.87745483110763,Worsened,3rd Quartile,Y,048542,1.28197962461374,103.851115026651,DOWNTOWN CORE
"371 ALEXANDRA ROAD, SINGAPORE 159963",Office,Large,No,1994.0,2017.0,Certified,Yes,17828.0,0.8189925959165358,100.0,,Air Cooled Chilled Water Plant,3.0,0.94,2017.0,20.0,N,286.56624411038814,265.9815739286516,246.74761610949068,Improved,Bottom Quartile,Y,159963,1.28473749728194,103.802575200723,BUKIT MERAH
"1 KEONG SAIK ROAD, SINGAPORE 089109",Office,Small,No,1992.0,,,No,3181.0,0.7711411505815782,100.0,,"Others (Split Units, Unitary Systems)",3.0,,,40.0,N,253.59713297705125,295.786281043697,289.47225400817354,Improved,Bottom Quartile,Y,089109,1.27891832141462,103.841421971652,OUTRAM
"250 TANJONG PAGAR ROAD, SINGAPORE 088541",Office,Small,No,2000.0,,,No,3722.0,0.6730252552391187,100.0,,"Others (Split Units, Unitary Systems)",4.0,,,10.0,N,163.57499462654488,147.19358140784524,148.6762493283181,Worsened,2nd Quartile,Y,088541,1.27387459608963,103.842927450259,DOWNTOWN CORE
"8 SIMEI STREET 3, SINGAPORE 529895",Community Hospital,Small,No,2006.0,,,No,14122.0,0.5860359722418921,90.0,,Air Cooled Chilled Water Plant,4.0,,,85.0,N,189.46818439314546,181.00688995892932,180.35407874238774,Improved,Not benchmarked,Y,529895,1.34168650601146,103.948799458078,TAMPINES
"91 UBI AVENUE 4, SINGAPORE 408827",Office,Large,Yes,2002.0,,,No,49327.0,0.6000770369169015,90.0,,Water Cooled Chilled Water Plant,15.0,2.37,2017.0,0.0,N,171.37308167940478,187.41972955987592,170.92108784235813,Improved,2nd Quartile,Y,408827,1.33427294506964,103.893120901028,GEYLANG
"101 JALAN BAHAR, SINGAPORE 649734",Office,Large,Yes,1999.0,,,No,40312.0,0.3361282000396904,78.0,,Water Cooled Chilled Water Plant,19.0,2.19,2017.0,5.0,N,127.81818461696342,121.9350615201429,121.18644076205595,Improved,Top Quartile,Y,649734,1.36733776396496,103.692104143231,WESTERN WATER CATCHMENT
"473 BALESTIER ROAD, SINGAPORE 329843",Hotel,Small,No,1980.0,,,No,963.0,0.726895119418484,64.0,42.0,"Others (Split Units, Unitary Systems)",7.0,,,0.0,N,193.40090342679127,157.97990654205606,120.55948078920042,Improved,Top Quartile,Y,329843,1.32635986895194,103.847732407861,NOVENA
"1 JALAN ANAK BUKIT, SINGAPORE 588996",Retail,Large,No,1982.0,2012.0,Gold,Yes,25772.0,0.9265481918361012,100.0,,Water Cooled Chilled Water Plant,4.0,0.68,2016.0,80.0,N,406.63543768430856,379.96477494955764,365.67526268818864,Improved,2nd Quartile,Y,588996,1.3386316527745,103.778585430975,BUKIT TIMAH
"14 SCOTTS ROAD, SINGAPORE 228213",Retail,Large,No,1983.0,2014.0,GoldPlus,Yes,40749.0,0.9459618640948244,89.0,,Water Cooled Chilled Water Plant,2.0,0.63,2017.0,100.0,N,346.0611330339395,328.9215229821591,333.7091035362832,Worsened,2nd Quartile,Y,228213,1.30730468891062,103.833818438639,ORCHARD
"72 SOUTH BRIDGE ROAD, SINGAPORE 058702",Office,Small,No,2007.0,,,No,578.0,0.615916955017301,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,0.0,N,167.13840830449826,154.91003460207614,171.64705882352942,Worsened,2nd Quartile,Y,058702,1.28703572211884,103.847904883854,SINGAPORE RIVER
"70 SOUTH BRIDGE ROAD, SINGAPORE 058700",Office,Small,No,2011.0,,,No,602.0,0.6212624584717608,31.0,,"Others (Split Units, Unitary Systems)",7.0,,,100.0,N,67.54485049833887,93.81229235880399,109.05647840531562,Worsened,Top Quartile,Y,058700,1.28709625845764,103.847903177041,SINGAPORE RIVER
"163 GEYLANG ROAD, SINGAPORE 389240",Office,Small,No,2005.0,,,No,1174.0,0.7597955706984668,100.0,,"Others (Split Units, Unitary Systems)",1.0,,,30.0,N,342.63450596252125,316.3713884156729,268.55280238500853,Improved,Bottom Quartile,Y,389240,1.31159827079308,103.874555798417,KALLANG
"15 QUEEN STREET, SINGAPORE 188537",Office,Small,No,1980.0,,,No,10471.0,0.6878044121860376,85.0,,"Others (Split Units, Unitary Systems)",6.0,,,55.0,N,225.69121382866967,249.8005730111737,235.16978321077258,Improved,3rd Quartile,Y,188537,1.29800516098231,103.852642237321,ROCHOR
"432 BALESTIER ROAD, SINGAPORE 329813",Mixed Development,Small,No,1974.0,,,No,11880.0,0.6397306397306397,100.0,,"Others (Split Units, Unitary Systems)",6.0,,,33.0,N,71.91736447811448,69.68863215488216,62.82600505050504,Improved,Top Quartile,Y,329813,1.32640299982338,103.848659877472,NOVENA
"20 MERCHANT ROAD, SINGAPORE 058281",Hotel,Large,No,1997.0,2018.0,Platinum,Yes,38054.0,1.0,90.0,476.0,Water Cooled Chilled Water Plant,2.0,0.62,2012.0,70.0,N,188.46206180690598,208.26924896200137,210.21924107846743,Worsened,Top Quartile,Y,058281,1.2882180283587,103.845692302876,SINGAPORE RIVER
"23 SERANGOON CENTRAL, SINGAPORE 556083",Retail,Large,No,2010.0,2017.0,Gold,Yes,87527.0,0.8505718235515898,99.0,,Water Cooled Chilled Water Plant,7.0,0.7,2017.0,18.0,N,505.68553132176356,498.8673209409668,485.8030664823426,Improved,3rd Quartile,Y,556083,1.35076935257845,103.872296143862,SERANGOON
"2 TOWN HALL LINK, SINGAPORE 608516",Hotel,Large,No,2015.0,2015.0,Platinum,Yes,19147.0,0.8228443098135478,90.0,557.0,Water Cooled Chilled Water Plant,1.0,0.65,2016.0,90.0,N,260.8767692066642,254.02069514806496,250.9037515015407,Improved,2nd Quartile,Y,608516,1.33153804374121,103.739340154836,JURONG EAST
