Address,2019 EUI,"2019 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",2020 EUI,"2020 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",2021 EUI,"2021 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",Building Type,Main Function,Building Size,TOP/CSC Year,Green Mark Award,Year of Green Mark Award,Green Mark Version,GFA,AC Area,AC Area Percentage,No. Of Hotel Rooms,Type of Air-conditioning System,Age  of Chiller,Air-con system efficiency (kW/RT),Date of Last Audit/Health Check,LED Percentage Usage,Installation of Solar PV,postal_code,lat,lon,plan_area
"19 COMPASSVALE WALK, SINGAPORE 544644",102.91582404576388,20.0,102.71513758753329,21.0,70.31736885813149,14.0,"Civic, Community & Cultural Institution",Community Institution,,2016.0,,,,14450.0,10000.0,0.9862905611993293,0.0,Others,7.0,,,80.0,N,544644,1.38929190736706,103.900231388203,SENGKANG
"2 BUANGKOK GREEN, SINGAPORE 539749",65.34225931084055,11.0,65.16108113572038,12.0,65.68882811447055,13.0,"Civic, Community & Cultural Institution",Community Institution,,1991.0,,,,44518.0,2837.0,0.06372703176243318,0.0,Others,17.0,,,0.0,N,539749,1.381898586936,103.88787472676,HOUGANG
"1 TAMPINES AVENUE 3, SINGAPORE 529707",70.13681214421251,14.0,66.21133344833534,13.0,65.27421942383992,12.0,"Civic, Community & Cultural Institution",Community Institution,,1996.0,,,,5797.0,783.0,0.13506986372261515,0.0,Others,17.0,,,0.0,N,529707,1.34812801387284,103.937642401194,TAMPINES
"2 PENG NGUAN STREET, SINGAPORE 168955",65.44041458184417,12.0,56.30581129378127,11.0,62.27523707410055,11.0,"Civic, Community & Cultural Institution",Community Institution,,1994.0,,,,8394.0,2636.0,0.31403383369073146,0.0,Others,4.0,,,8.0,N,168955,1.28199215649717,103.831101267696,BUKIT MERAH
"10 SIMEI STREET 3, SINGAPORE 529897",56.14249452474814,10.0,55.12527923784494,10.0,54.464142575558476,10.0,"Civic, Community & Cultural Institution",Community Institution,,2004.0,,,,9132.0,4000.0,0.43802014892685065,0.0,Others,16.0,,,0.0,N,529897,1.34208237947008,103.949153919162,TAMPINES
"30 ADMIRALTY STREET, SINGAPORE 757441",45.518447070171206,7.0,48.80395466602363,9.0,53.642392090667954,9.0,"Civic, Community & Cultural Institution",Community Institution,,2016.0,GoldPlus,2020.0,New Building for Non-Residential buildings (version 4.1),8294.0,282.0,0.03400048227634435,0.0,Others,1.0,,,0.0,N,757441,1.46069060188368,103.811542182684,SEMBAWANG
"3 LORONG NAPIRI, SINGAPORE 547528",50.601885810500534,9.0,42.042190417878466,7.0,48.98686667687127,8.0,"Civic, Community & Cultural Institution",Community Institution,,1990.0,,,,6533.0,162.0,0.024797183529771928,0.0,Others,10.0,,,0.0,N,547528,1.37177135965708,103.877499676563,HOUGANG
"28 HONG SAN TERRACE, SINGAPORE 688247",46.21983120706575,8.0,46.753373895976445,8.0,47.35787242394504,7.0,"Civic, Community & Cultural Institution",Community Institution,,2006.0,GoldPlus,2019.0,Existing Building for Non-Residential buildings (version 3),5095.0,915.0,0.17958783120706576,0.0,Others,13.0,,,90.0,Y,688247,1.37805819344637,103.745489388933,CHOA CHU KANG
"147 COMPASSVALE BOW, SINGAPORE544691",30.983368449245607,4.0,35.77087402910455,6.0,37.78159450049103,6.0,"Civic, Community & Cultural Institution",Community Institution,,2018.0,Gold,2018.0,New Building for Non-Residential buildings (version 4.1),11201.0,2697.0,0.24078207302919383,0.0,Others,2.0,,,89.0,N,544691,1.38316632041848,103.890770165022,SENGKANG
"49 UPPER THOMSON ROAD, SINGAPORE 574325",36.94604368558684,5.0,35.72603061067528,5.0,35.346873557914165,5.0,"Civic, Community & Cultural Institution",Community Institution,,1939.0,,,,13002.0,360.0,0.02768804799261652,26.0,Others,15.0,,,0.0,N,574325,1.34645950340153,103.837483509625,BISHAN
"105 PUNGGOL ROAD, SINGAPORE 546636",44.75808088235294,6.0,31.567213235294115,4.0,30.319732352941177,4.0,"Civic, Community & Cultural Institution",Community Institution,,1981.0,,,,6800.0,500.0,0.07352941176470588,0.0,Others,5.0,,,50.0,N,546636,1.37989315515515,103.896275540621,SENGKANG
"9 LORONG 8 TOA PAYOH, SINGAPORE 319253",23.584197748841316,2.0,21.637607592143016,2.0,22.185499889649083,3.0,"Civic, Community & Cultural Institution",Community Institution,,2014.0,,,,9062.0,3832.0,0.4228647097770912,0.0,Others,7.0,,,85.0,Y,319253,1.34063847843527,103.8569832585,TOA PAYOH
"58 BEDOK NORTH STREET 3, SINGAPORE 469624",30.59400390625,3.0,30.597924804687498,3.0,18.132682291666665,2.0,"Civic, Community & Cultural Institution",Community Institution,,2010.0,,,,6144.0,600.0,0.09765625,0.0,Others,2.0,0.65,2017-07-20,1.0,N,469624,1.334658333352,103.931987528582,BEDOK
"179 BARTLEY ROAD, SINGAPORE 539784",3.590647309376687,1.0,3.0512478253044573,1.0,3.136585877977083,1.0,"Civic, Community & Cultural Institution",Community Institution,,1965.0,,,,66676.0,700.0,0.010498530205771192,0.0,Others,4.0,,,80.0,N,539784,1.34378947285249,103.880511914211,SERANGOON
"1 YISHUN AVENUE 9, SINGAPORE 768893",,,,,,,"Civic, Community & Cultural Institution",Community Institution,,2015.0,Gold,2019.0,Existing Building for Non-Residential buildings (version 3),5485.0,1741.0,0.31741112123974474,0.0,Others,5.0,4.58,,90.0,N,768893,1.43102086659178,103.838488085239,YISHUN
"4 BUANGKOK GREEN, SINGAPORE 539750",,,,,,,"Civic, Community & Cultural Institution",Community Institution,,1991.0,,,,,,,,Others,11.0,,,0.0,N,539750,1.38266493111595,103.88728057056,HOUGANG
"6 BUANGKOK GREEN, SINGAPORE 539751",,,,,,,"Civic, Community & Cultural Institution",Community Institution,,1991.0,,,,,,,,Others,10.0,,,0.0,N,539751,1.38217261653258,103.887330854609,HOUGANG
"8 BUANGKOK GREEN, SINGAPORE 539752",,,,,,,"Civic, Community & Cultural Institution",Community Institution,,1991.0,,,,,,,,Others,17.0,,,0.0,N,539752,1.38170892235511,103.887284803847,HOUGANG
"10 BUANGKOK GREEN, SINGAPORE 539753",,,,,,,"Civic, Community & Cultural Institution",Community Institution,,1991.0,,,,,,,,Others,12.0,,,0.0,N,539753,1.381237953392,103.887253474964,HOUGANG
"12 BUANGKOK GREEN, SINGAPORE 539754",,,,,,,"Civic, Community & Cultural Institution",Community Institution,,1991.0,,,,,,,,Others,11.0,,,0.0,N,539754,1.38093443145388,103.886893261808,HOUGANG
"14 BUANGKOK GREEN, SINGAPORE 539755",,,,,,,"Civic, Community & Cultural Institution",Community Institution,,1991.0,,,,,,,,Others,12.0,,,0.0,N,539755,1.38053728257548,103.88673484783,HOUGANG
"93 STAMFORD ROAD, SINGAPORE 178897",450.2970031310571,8.0,423.10992495402814,8.0,397.47198946374436,8.0,"Civic, Community & Cultural Institution",Cultural Institution,,2006.0,GoldPlus,2020.0,Existing Building for Non-Residential buildings (version 3),20121.0,15138.0,0.7523482928283882,0.0,Water Cooled Chilled Water Plant,15.0,0.87,2012-08-09,75.0,N,178897,1.29678050415467,103.848412787752,MUSEUM
"32 JURONG PORT ROAD, SINGAPORE 619104",286.76373209169054,7.0,313.81,7.0,292.487664756447,7.0,"Civic, Community & Cultural Institution",Cultural Institution,,2010.0,Platinum,2019.0,Existing Building for Non-Residential buildings (version 3),20940.0,19384.0,0.9256924546322827,0.0,Others,0.0,1.33,2015-11-30,38.0,Y,619104,1.3125838243433,103.718280318468,JURONG EAST
"1 EMPRESS PLACE, SINGAPORE 179555",219.58774075875488,6.0,199.16717898832684,6.0,221.5128428988327,6.0,"Civic, Community & Cultural Institution",Cultural Institution,,2003.0,GoldPlus,2020.0,Existing Building for Non-Residential buildings (version 3),16448.0,10088.0,0.6133268482490273,0.0,Water Cooled Chilled Water Plant,6.0,0.72,,30.0,N,179555,1.28744096369537,103.851375139631,DOWNTOWN CORE
"9 EMPRESS PLACE, SINGAPORE 179556",181.25997548489437,5.0,164.41340255245512,5.0,185.24333693849593,5.0,"Civic, Community & Cultural Institution",Cultural Institution,,2014.0,GoldPlus,2015.0,Existing Building for Non-Residential buildings (version 3),13869.0,10000.0,0.7210325185665873,0.0,Water Cooled Chilled Water Plant,4.0,,,70.0,N,179556,1.28837880986783,103.85164931096,DOWNTOWN CORE
"7 SHENTON WAY, SINGAPORE 068810",177.92210196987253,4.0,141.2013163383546,3.0,165.67886210892237,4.0,"Civic, Community & Cultural Institution",Cultural Institution,,2018.0,,,,8630.0,5670.0,0.657010428736964,0.0,Air Cooled Chilled Water Plant,3.0,0.83,,90.0,N,068810,1.27601990655194,103.848835345266,DOWNTOWN CORE
"1 ST. ANDREWS ROAD, SINGAPORE 178957",172.493605453784,3.0,156.73083575051575,4.0,165.01379732894878,3.0,"Civic, Community & Cultural Institution",Cultural Institution,,2015.0,GoldPlus,2022.0,GM: 2021 In Operation,64469.0,60890.0,0.944484946253238,0.0,Water Cooled Chilled Water Plant,6.0,0.64,2019-06-21,44.0,Y,178957,1.29065533840368,103.851708013559,DOWNTOWN CORE
"1 STRAITS BOULEVARD, SINGAPORE 018906",84.49100178536004,2.0,68.79435429478278,2.0,78.0899424717318,2.0,"Civic, Community & Cultural Institution",Cultural Institution,,2017.0,Platinum,2021.0,New Building for Non-Residential buildings (version 4.1),15123.0,9342.0,0.6177345764729221,0.0,District Cooling Plant,12.0,,,95.0,N,018906,1.27582919242099,103.849576388626,DOWNTOWN CORE
"1 STADIUM WALK, SINGAPORE 397688",57.3580211605224,1.0,28.79112249958671,1.0,17.31980492643412,1.0,"Civic, Community & Cultural Institution",Cultural Institution,,1970.0,,,,12098.0,6611.0,0.546453959332121,0.0,Water Cooled Chilled Water Plant,20.0,,,50.0,N,397688,1.30191008708369,103.875681486732,KALLANG
"5 COX TERRACE, SINGAPORE 179620",,,,,,,"Civic, Community & Cultural Institution",Cultural Institution,,2015.0,Legislated,2015.0,,5487.0,5400.0,0.9841443411700382,0.0,Water Cooled Chilled Water Plant,6.0,,,38.0,N,179620,1.29605727595887,103.846803674497,MUSEUM
