Building Address,"Building Type
(Office Building, Hotel, Retail Building, Mixed Development)","Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Green Mark Rating,Green Mark Year of Award,"Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Gross Floor Area (m2),"2015 Energy Use Intensity (EUI)
(kWh/m2.yr) ","2016 
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ",Voluntary Disclosure,postal_code,lat,lon,plan_area
"20 HARBOUR DRIVE, SINGAPORE 117612",Office,Yes,Certified,2016.0,Large,23225.0,164.0,164,Y,117612,1.28322851391335,103.77908805534,QUEENSTOWN
"1 SOPHIA ROAD, SINGAPORE 228149",Office,No,,,Large,33952.0,233.0,243,Y,228149,1.30121698594691,103.84956899814,ROCHOR
"18 SCIENCE PARK DRIVE, SINGAPORE 118229",Office,No,,,Large,16155.0,1098.0,1095,Y,118229,1.29020797784005,103.788268018287,QUEENSTOWN
"8 SHENTON WAY, SINGAPORE 068811",Office,Yes,Platinum,2012.0,Large,95625.0,158.0,164,Y,068811,1.27572262809462,103.847266612595,DOWNTOWN CORE
"100 JALAN SULTAN, SINGAPORE 199001",Office,No,,,Large,17034.0,299.0,287,Y,199001,1.30294528666428,103.861851786605,KALLANG
"163 PENANG ROAD, SINGAPORE 238463",Office,Yes,GoldPlus,2014.0,Large,18451.0,201.0,200,Y,238463,1.29954055753541,103.840931101963,ORCHARD
"3 KILLINEY ROAD, SINGAPORE 239519",Office,No,,,Large,21055.0,191.0,179,Y,239519,1.29968396988716,103.84033910138,ORCHARD
"1 SUPREME COURT LANE, SINGAPORE 178879",Office,Yes,Gold,2014.0,Large,57757.0,155.0,159,Y,178879,1.29022779066454,103.850750258013,DOWNTOWN CORE
"4 BATTERY ROAD, SINGAPORE 049908",Office,No,,,Large,15480.0,383.0,373,Y,049908,1.28578489612351,103.852220034954,DOWNTOWN CORE
"16 RAFFLES QUAY, SINGAPORE 048581",Office,No,,,Large,47744.0,286.0,268,Y,048581,1.28136359915756,103.850914468583,DOWNTOWN CORE
"20 COLLYER QUAY, SINGAPORE 049319",Office,Yes,Certified,2013.0,Large,34736.0,213.0,217,Y,049319,1.28468928277083,103.852692297865,DOWNTOWN CORE
"1 AVIATION DRIVE, SINGAPORE 499867",Office,Yes,Platinum,2015.0,Large,22368.0,141.0,144,Y,499867,1.38831997107217,103.990313764139,CHANGI
"190 MIDDLE ROAD, SINGAPORE 188979",Office,Yes,Gold,2015.0,Large,25021.0,232.0,189,Y,188979,1.30041423392971,103.852292796726,ROCHOR
"460 ALEXANDRA ROAD, SINGAPORE 119963",Office,Yes,GoldPlus,2015.0,Large,79650.0,250.0,247,Y,119963,1.27398639988204,103.801264139551,QUEENSTOWN
"60 ANSON ROAD, SINGAPORE 079914",Office,Yes,Platinum,2013.0,Large,35657.0,207.0,223,Y,079914,1.27481626802236,103.845177360665,DOWNTOWN CORE
"2 HARBOURFRONT PLACE, SINGAPORE 098499",Office,Yes,Gold,2013.0,Large,22722.0,403.0,402,Y,098499,1.26581280840254,103.818868952573,BUKIT MERAH
"11 COLLYER QUAY, SINGAPORE 049317",Office,No,,,Large,19928.0,263.0,272,Y,049317,1.28361982304995,103.852058865041,DOWNTOWN CORE
"10 EUNOS ROAD 8, SINGAPORE 408600",Office,No,,,Large,137134.0,177.0,146,Y,408600,1.31902706853881,103.894758505483,GEYLANG
"6 BATTERY ROAD, SINGAPORE 049909",Office,Yes,Platinum,2014.0,Large,66408.0,192.0,191,Y,049909,1.28546633858293,103.851764064473,DOWNTOWN CORE
"20 ANSON ROAD, SINGAPORE 079912",Office,Yes,Platinum,2015.0,Large,23418.0,232.0,235,Y,079912,1.27536902177375,103.845646949217,DOWNTOWN CORE
"1 GEORGE STREET, SINGAPORE 049145",Office,Yes,GoldPlus,2014.0,Large,51661.0,237.0,215,Y,049145,1.28554561014596,103.847771909584,DOWNTOWN CORE
"8 WILKIE ROAD, SINGAPORE 228095",Office,Yes,Gold,2012.0,Large,29812.0,272.0,268,Y,228095,1.30209331287854,103.849554104864,ROCHOR
"168 ROBINSON ROAD, SINGAPORE 068912",Office,Yes,Platinum,2013.0,Large,95555.0,281.0,273,Y,068912,1.27763073260823,103.847572724879,DOWNTOWN CORE
"21 COLLYER QUAY, SINGAPORE 049320",Office,Yes,Certified,2013.0,Large,27061.0,267.0,234,Y,049320,1.28508096732428,103.852800724044,DOWNTOWN CORE
"3 TAMPINES GRANDE, SINGAPORE 528799",Office,No,,,Large,15343.0,277.0,304,Y,528799,1.35463349614222,103.941891421933,TAMPINES
"3 ANSON ROAD, SINGAPORE 079909",Office,No,,,Large,33846.0,264.0,242,Y,079909,1.27508475472297,103.84624628336,DOWNTOWN CORE
"200 CHANGI ROAD, SINGAPORE 419734",Office,No,,,Large,24707.0,116.0,114,Y,419734,1.31691915233148,103.903560614356,GEYLANG
"39 ROBINSON ROAD, SINGAPORE 068911",Office,Yes,Certified,2008.0,Large,15724.0,198.0,207,Y,068911,1.27959283204578,103.849547646073,DOWNTOWN CORE
"31 INTERNATIONAL BUSINESS PARK, SINGAPORE 609921",Office,No,,,Large,61720.0,261.0,179,Y,609921,1.32880462855507,103.745882872825,JURONG EAST
"61 ROBINSON ROAD, SINGAPORE 068893",Office,No,,,Large,15740.0,255.0,249,Y,068893,1.27926377555562,103.849347709351,DOWNTOWN CORE
"83 CLEMENCEAU AVENUE, SINGAPORE 239920",Office,No,,,Large,30809.0,507.0,522,Y,239920,1.2928043898883,103.842906944852,SINGAPORE RIVER
"350 ORCHARD ROAD, SINGAPORE 238868",Office,Yes,Gold,2012.0,Large,49048.0,292.0,280,Y,238868,1.30580981580562,103.831507365654,ORCHARD
"1 SCOTTS ROAD, SINGAPORE 228208",Office,Yes,Gold,2012.0,Large,43940.0,340.0,354,Y,228208,1.30618594739077,103.831980208498,ORCHARD
"360 ORCHARD ROAD, SINGAPORE 238869",Office,Yes,GoldPlus,2015.0,Large,15267.0,209.0,205,Y,238869,1.30607515954354,103.831003321455,ORCHARD
"30 CECIL STREET, SINGAPORE 049712",Office,Yes,GoldPlus,2013.0,Large,27699.0,208.0,183,Y,049712,1.2827970957662,103.849887722614,DOWNTOWN CORE
"1 INTERNATIONAL BUSINESS PARK, SINGAPORE 609917",Office,No,,,Large,41363.0,371.0,312,Y,609917,1.32906062869386,103.748667927372,JURONG EAST
"2 INTERNATIONAL BUSINESS PARK, SINGAPORE 609930",Office,No,,,Large,67370.0,256.0,240,Y,609930,1.33028201498891,103.747247200113,JURONG EAST
"3 CHURCH STREET, SINGAPORE 049483",Office,Yes,GoldPlus,2014.0,Large,27562.0,277.0,222,Y,049483,1.2832632231733,103.849626546611,DOWNTOWN CORE
"30 RAFFLES PLACE, SINGAPORE 048622",Office,No,,,Large,36631.0,246.0,258,Y,048622,1.28421477965482,103.852008834004,DOWNTOWN CORE
"51 BRAS BASAH ROAD, SINGAPORE 189554",Office,Yes,Platinum,2014.0,Large,20364.0,309.0,334,Y,189554,1.29793747849037,103.850182257356,MUSEUM
"1 HAVELOCK SQUARE, SINGAPORE 059724",Office,No,,,Large,29675.0,138.0,139,Y,059724,1.28623008813022,103.843386278002,OUTRAM
"36 ROBINSON ROAD, SINGAPORE 068877",Office,Yes,Platinum,2013.0,Large,20180.0,137.0,147,Y,068877,1.28122009688434,103.84979834686,DOWNTOWN CORE
"63 CHULIA STREET, SINGAPORE 049514",Office,Yes,Gold,2012.0,Large,22518.0,195.0,200,Y,049514,1.28489046523391,103.849665596009,DOWNTOWN CORE
"65 CHULIA STREET, SINGAPORE 049513",Office,Yes,Gold,2016.0,Large,75079.0,203.0,205,Y,049513,1.28503445044088,103.849102832547,DOWNTOWN CORE
"21 MEDIA CIRCLE, SINGAPORE 138562",Office,Yes,GoldPlus,2014.0,Large,20484.0,294.0,317,Y,138562,1.29238424432587,103.794685834653,QUEENSTOWN
"29 INTERNATIONAL BUSINESS PARK, SINGAPORE 609923",Office,No,,,Large,25044.0,158.0,153,Y,609923,1.3269753754609,103.746325536541,JURONG EAST
"79 ANSON ROAD, SINGAPORE 079906",Office,No,,,Large,26866.0,204.0,180,Y,079906,1.27409847579456,103.845671181577,DOWNTOWN CORE
"9 NORTH BUONA VISTA DRIVE, SINGAPORE 138588",Office,Yes,Platinum,2013.0,Large,100096.0,205.0,214,Y,138588,1.30624556811811,103.791237458059,QUEENSTOWN
"28 IRRAWADDY ROAD, SINGAPORE 329560",Office,No,,,Large,99091.0,374.0,378,Y,329560,1.32424705197326,103.845062688126,NOVENA
"9 BATTERY ROAD, SINGAPORE 049910",Office,Yes,Gold,2016.0,Large,18565.0,216.0,218,Y,049910,1.28513099274851,103.852344992142,DOWNTOWN CORE
"10 ANSON ROAD, SINGAPORE 079903",Office,Yes,GoldPlus,2012.0,Large,107758.0,172.0,171,Y,079903,1.27581120588262,103.845955084997,DOWNTOWN CORE
"100 BEACH ROAD, SINGAPORE 189702",Office,No,,,Large,47230.0,230.0,234,Y,189702,1.29615719409665,103.856933604404,DOWNTOWN CORE
"3 SECOND HOSPITAL AVENUE, SINGAPORE 168937",Office,Yes,Platinum,2013.0,Large,32148.0,159.0,162,Y,168937,1.27937281065482,103.838387502631,BUKIT MERAH
"12 AYER RAJAH CRESCENT, SINGAPORE 139941",Office,No,,,Large,21598.0,1048.0,1034,Y,139941,1.2961513585024,103.788072903758,QUEENSTOWN
"491 RIVER VALLEY ROAD, SINGAPORE 248371",Office,Yes,Gold,2012.0,Large,27291.0,479.0,475,Y,248371,1.2930991715203,103.827046215651,TANGLIN
"180 CECIL STREET, SINGAPORE 069546",Office,No,,,Large,15590.0,126.0,127,Y,069546,1.2791683710435,103.847704975673,DOWNTOWN CORE
"55 NEWTON ROAD, SINGAPORE 307987",Office,Yes,Platinum,2014.0,Large,86492.0,176.0,173,Y,307987,1.31948959007238,103.841975308494,NOVENA
"89 SCIENCE PARK DRIVE, SINGAPORE 118261",Office,No,,,Large,20143.0,290.0,277,Y,118261,1.28797949416507,103.791337056727,QUEENSTOWN
"109 PASIR PANJANG ROAD, SINGAPORE 118536",Office,No,,,Large,15423.0,199.0,200,Y,118536,1.27493139629834,103.793387821275,QUEENSTOWN
"10 SHENTON WAY, SINGAPORE 079117",Office,Yes,Platinum,2015.0,Large,55206.0,162.0,163,Y,079117,1.27476842632545,103.846679853865,DOWNTOWN CORE
"78 SHENTON WAY, SINGAPORE 079120",Office,No,,,Large,45929.0,216.0,219,Y,079120,1.27320006221557,103.84529056566,DOWNTOWN CORE
"51 CUPPAGE ROAD, SINGAPORE 229469",Office,Yes,Gold,2014.0,Large,30915.0,165.0,169,Y,229469,1.3028537001051,103.840156149281,ORCHARD
"11 OUTRAM ROAD, SINGAPORE 169078",Office,Yes,Gold,2012.0,Large,17226.0,483.0,476,Y,169078,1.28044812109897,103.83850336886,BUKIT MERAH
"23 CHURCH STREET, SINGAPORE 049481",Office,Yes,GoldPlus,2015.0,Large,36196.0,357.0,357,Y,049481,1.28362986367061,103.849100725691,OUTRAM
"900 SOUTH WOODLANDS DRIVE, SINGAPORE 730900",Office,Yes,Platinum,2015.0,Large,38235.0,259.0,270,Y,730900,1.43505698925938,103.787004308703,WOODLANDS
"100 VICTORIA STREET, SINGAPORE 188064",Office,Yes,Platinum,2015.0,Large,58783.0,233.0,232,Y,188064,1.29762605480882,103.854179013898,DOWNTOWN CORE
"71 ROBINSON ROAD, SINGAPORE 068895",Office,Yes,Gold,2015.0,Large,24089.0,239.0,249,Y,068895,1.27838397079891,103.848812961411,DOWNTOWN CORE
"168 JALAN BUKIT MERAH, SINGAPORE 150168",Office,Yes,Platinum,2014.0,Large,95696.0,146.0,147,Y,150168,1.28308392545022,103.81931340476,BUKIT MERAH
"750 CHAI CHEE ROAD, SINGAPORE 469000",Office,No,,,Large,141840.96,795.0,792,Y,469000,1.32365172481192,103.922102955664,BEDOK
"896 DUNEARN ROAD, SINGAPORE 589472",Office,No,,,Large,23533.0,174.0,202,Y,589472,1.33660379178017,103.783876655078,BUKIT TIMAH
"2 FUSIONOPOLIS WAY, SINGAPORE 138634",Office,Yes,Platinum,2011.0,Large,41193.0,251.0,447,Y,138634,1.29842618269904,103.788697913817,QUEENSTOWN
"6 FUSIONOPOLIS WAY, SINGAPORE 138636",Office,Yes,Platinum,2011.0,Large,19173.0,206.0,914,Y,138636,1.2991104909562,103.788840649202,QUEENSTOWN
"8 JURONG TOWN HALL ROAD, SINGAPORE 609434",Office,Yes,Platinum,2013.0,Large,56527.0,158.0,156,Y,609434,1.3313634717169,103.741683568768,JURONG EAST
"9 JURONG TOWN HALL ROAD, SINGAPORE 609431",Office,No,,,Large,26248.0,67.0,33,Y,609431,1.32872179304039,103.74193226099,JURONG EAST
"1 CLEANTECH LOOP, SINGAPORE 637141",Office,Yes,Platinum,2011.0,Large,28800.0,292.0,298,Y,637141,1.35539828173454,103.69237945253,WESTERN WATER CATCHMENT
"4 FUSIONOPOLIS WAY, SINGAPORE 138635",Office,Yes,Platinum,2011.0,Large,33123.0,84.0,290,Y,138635,1.29814278430466,103.789148552727,QUEENSTOWN
"3 CLEANTECH LOOP, SINGAPORE 637143",Office,Yes,Platinum,2013.0,Large,22485.0,94.0,133,Y,637143,1.35523053316172,103.693447436835,WESTERN WATER CATCHMENT
"50 SCIENCE PARK ROAD, SINGAPORE 117406",Office,No,,,Large,20190.0,599.0,649,Y,117406,1.28588931446437,103.783512088621,QUEENSTOWN
"61 SCIENCE PARK ROAD, SINGAPORE 117525",Office,No,,,Large,30545.0,307.0,243,Y,117525,1.28655109635518,103.784086015551,QUEENSTOWN
"1 SCIENCE PARK ROAD, SINGAPORE 117528",Office,No,,,Large,28602.0,225.0,198,Y,117528,1.28945419226448,103.778326622956,QUEENSTOWN
"10 SCIENCE PARK ROAD, SINGAPORE 117684",Office,No,,,Large,28533.0,249.0,223,Y,117684,1.2887532295364,103.780034488623,QUEENSTOWN
"41 SCIENCE PARK ROAD, SINGAPORE 117610",Office,No,,,Large,32629.0,510.0,466,Y,117610,1.28874338578167,103.782835762303,QUEENSTOWN
"1 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486036",Office,Yes,GoldPlus,2011.0,Large,71158.0,262.0,254,Y,486036,1.33352582052952,103.962576462766,TAMPINES
"151 CHIN SWEE ROAD, SINGAPORE 169876",Office,No,,,Large,16450.0,180.0,171,Y,169876,1.28703443823013,103.840813247609,OUTRAM
"1 HAMPSHIRE ROAD, SINGAPORE 219428",Office,No,,,Large,37923.0,257.0,251,Y,219428,1.3074454154769,103.848862289616,KALLANG
"20 SCIENCE PARK ROAD, SINGAPORE 117674",Office,No,,,Large,23977.0,356.0,315,Y,117674,1.28646421483468,103.781863947157,QUEENSTOWN
"3 TEMASEK AVENUE, SINGAPORE 039190",Office,Yes,GoldPlus,2011.0,Large,64846.0,219.0,200,Y,039190,1.29359259248898,103.860272508443,DOWNTOWN CORE
"2 BUKIT MERAH CENTRAL, SINGAPORE 159835",Office,No,,,Large,23278.0,258.0,270,Y,159835,1.28407802916981,103.813672735513,BUKIT MERAH
"1A INTERNATIONAL BUSINESS PARK, SINGAPORE 609933",Office,Yes,Gold,2013.0,Large,19967.0,154.0,133,Y,609933,1.3280644614245,103.748381440005,JURONG EAST
"43 CARPENTER STREET, SINGAPORE 059922",Office,No,,,Small,913.0,276.0,248,Y,059922,1.28775093572357,103.848018535263,SINGAPORE RIVER
"731 NORTH BRIDGE ROAD, SINGAPORE 198699",Office,No,,,Small,385.0,184.0,201,Y,198699,1.30290833120091,103.858792868088,ROCHOR
"50 CUSCADEN ROAD, SINGAPORE 249724",Office,No,,,Small,7372.0,330.0,312,Y,249724,1.30572373922754,103.82810604464,ORCHARD
"2 LENGKOK BAHRU, SINGAPORE 159047",Office,No,,,Small,5199.0,219.0,219,Y,159047,1.2867006427442,103.810819756429,BUKIT MERAH
"50 SOUTH BRIDGE ROAD, SINGAPORE 058682",Office,No,,,Small,974.0,137.0,129,Y,058682,1.28769482359984,103.848230329512,SINGAPORE RIVER
"87 BEACH ROAD, SINGAPORE 189695",Office,No,,,Small,2206.0,208.0,205,Y,189695,1.297402484453,103.856646124201,DOWNTOWN CORE
"137 MARKET STREET, SINGAPORE 048943",Office,Yes,GoldPlus,2009.0,Small,5030.0,165.0,169,Y,048943,1.28222967286645,103.850519734066,DOWNTOWN CORE
"163 TRAS STREET, SINGAPORE 079024",Office,No,,,Small,3225.0,107.0,116,Y,079024,1.27471816977998,103.843991144474,DOWNTOWN CORE
"100 CECIL STREET, SINGAPORE 069532",Office,No,,,Small,5824.0,201.0,182,Y,069532,1.2811356333691,103.848958262081,DOWNTOWN CORE
"84 SOUTH BRIDGE ROAD, SINGAPORE 058714",Office,No,,,Small,1086.0,91.0,90,Y,058714,1.28679788961392,103.847735348073,SINGAPORE RIVER
"22 BUKIT PASOH ROAD, SINGAPORE 089836",Office,No,,,Small,4331.0,65.0,71,Y,089836,1.27918441604346,103.84084739584,OUTRAM
