Address,2019 EUI,"2019 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",2020 EUI,"2020 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",2021 EUI,"2021 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",Building Type,Main Function,Building Size,TOP/CSC Year,Green Mark Award,Year of Green Mark Award,Green Mark Version,GFA,AC Area,AC Area Percentage,No. Of Hotel Rooms,Type of Air-conditioning System,Age  of Chiller,Air-con system efficiency (kW/RT),Date of Last Audit/Health Check,LED Percentage Usage,Installation of Solar PV,postal_code,lat,lon,plan_area
"510 DOVER ROAD, SINGAPORE 139660",114.93716268656718,5.0,94.25153432835822,4.0,93.93304626865671,5.0,Educational Institution,Univerisity,,2015.0,Platinum,2020.0,New Building for Non-Residential buildings (version 4),20100.0,9769.0,0.4860199004975124,0.0,Water Cooled Chilled Water Plant,4.0,0.6,2019-05-15,0.0,N,139660,1.30797570313315,103.777733041672,QUEENSTOWN
"29B TAMPINES AVENUE 1, SINGAPORE 528694",88.40988431876606,3.0,77.83116538131962,3.0,76.8179177377892,4.0,Educational Institution,Univerisity,,2014.0,Platinum,2020.0,New Building for Non-Residential buildings (version 4),11670.0,6113.0,0.5238217652099401,0.0,Water Cooled Chilled Water Plant,7.0,0.57,2019-06-12,20.0,N,528694,1.34342966240204,103.932354333699,TAMPINES
"1 NANYANG WALK, SINGAPORE 637616",77.65923169988447,2.0,69.95922897089993,2.0,70.94611165185435,3.0,Educational Institution,Univerisity,,2000.0,Platinum,2017.0,Existing Building for Non-Residential buildings (version 3),109931.0,60000.0,0.5457969089701722,0.0,Water Cooled Chilled Water Plant,5.0,0.61,2017-07-06,0.0,N,637616,1.34855519746164,103.678124612295,WESTERN WATER CATCHMENT
"6 NEPAL PARK, SINGAPORE 139395",105.11560814419227,4.0,131.54676101468624,8.0,59.35951201602136,2.0,Educational Institution,Univerisity,,2013.0,Gold,2013.0,New Building for Non-Residential buildings (version 4),14980.0,4812.0,0.3212283044058745,0.0,Water Cooled Chilled Water Plant,3.0,0.73,2016-11-08,80.0,Y,139395,1.3016971070564,103.788075552275,QUEENSTOWN
"149 SIMS DRIVE, SINGAPORE 387380",74.95812104152006,1.0,52.80670613072816,1.0,53.74137310096453,1.0,Educational Institution,Univerisity,,2015.0,,,,24157.0,10447.0,0.43246264022850517,0.0,Others,6.0,0.73,2015-04-20,0.0,N,387380,1.31556694222653,103.876391006571,GEYLANG
"50 NANYANG VIEW, SINGAPORE 639667",,,,,,,Educational Institution,Univerisity,,1986.0,Platinum,2020.0,Existing Non-Residental Buildings ENRB: 2017,,,,,Others,3.0,,,100.0,N,639667,1.35049418240882,103.687953115729,WESTERN WATER CATCHMENT
"60 NANYANG VIEW, SINGAPORE 639673",,,,,,,Educational Institution,Univerisity,,2003.0,Platinum,2018.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,12.0,0.65,2014-12-30,100.0,N,639673,1.35127901861655,103.687917614812,WESTERN WATER CATCHMENT
"36 NANYANG AVENUE, SINGAPORE 639801",,,,,,,Educational Institution,Univerisity,,1958.0,,,,,,,,Others,50.0,,,90.0,N,639801,1.34536991732881,103.682668843754,WESTERN WATER CATCHMENT
"42 NANYANG AVENUE, SINGAPORE 639815",,,,,,,Educational Institution,Univerisity,,1966.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,2.0,0.64,2015-01-23,100.0,N,639815,1.34527318922194,103.683362113739,WESTERN WATER CATCHMENT
"12 NANYANG HILL, SINGAPORE 637663",,,,,,,Educational Institution,Univerisity,,1961.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),,,,,Others,5.0,0.78,,100.0,N,637663,1.3497828881869,103.686842629114,WESTERN WATER CATCHMENT
"31 NANYANG LINK, SINGAPORE 637718",,,,,,,Educational Institution,Univerisity,,1997.0,Platinum,2018.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,2.0,0.63,2015-03-25,100.0,Y,637718,1.34219556202874,103.679880200851,WESTERN WATER CATCHMENT
"18 NANYANG DRIVE, SINGAPORE 637723",,,,,,,Educational Institution,Univerisity,,1957.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),,,,,Others,2007.0,,,100.0,N,637723,0,0,NA
"76 NANYANG DRIVE, SINGAPORE 637331",,,,,,,Educational Institution,Univerisity,,2008.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,1.0,0.65,2013-01-03,100.0,N,637331,1.34713048855579,103.680033789538,WESTERN WATER CATCHMENT
"21 NANYANG LINK, SINGAPORE 637371",,,,,,,Educational Institution,Univerisity,,2008.0,Platinum,2020.0,Existing Non-Residental Buildings ENRB: 2017,,,,,District Cooling Plant,14.0,0.74,2010-07-01,100.0,Y,637371,1.34183403468682,103.681922855467,WESTERN WATER CATCHMENT
"70 NANYANG DRIVE, SINGAPORE 637457",,,,,,,Educational Institution,Univerisity,,2006.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,9.0,0.63,2014-10-03,0.0,N,637457,1.34533648169713,103.680293949249,WESTERN WATER CATCHMENT
"81 NANYANG DRIVE, SINGAPORE 637458",,,,,,,Educational Institution,Univerisity,,2006.0,Platinum,2018.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,9.0,0.66,2014-03-12,0.0,N,637458,1.34972517875688,103.684368045863,WESTERN WATER CATCHMENT
"62 NANYANG DRIVE, SINGAPORE 637459",,,,,,,Educational Institution,Univerisity,,2006.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,1.0,0.63,2014-10-03,100.0,N,637459,1.34540501097405,103.679049192908,WESTERN WATER CATCHMENT
"65 NANYANG DRIVE, SINGAPORE 637460",,,,,,,Educational Institution,Univerisity,,2007.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,10.0,0.6,,100.0,Y,637460,1.34757237689378,103.682327558543,WESTERN WATER CATCHMENT
"60 NANYANG DRIVE, SINGAPORE 637551",,,,,,,Educational Institution,Univerisity,,2004.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,1.0,0.63,2014-10-03,100.0,N,637551,1.34435864607028,103.679267275915,WESTERN WATER CATCHMENT
"50 NANYANG DRIVE, SINGAPORE 637553",,,,,,,Educational Institution,Univerisity,,2003.0,Platinum,2018.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,2.0,0.63,2015-03-25,100.0,N,637553,1.34311926300387,103.679690279295,WESTERN WATER CATCHMENT
"52 NANYANG AVENUE, SINGAPORE 639816",,,,,,,Educational Institution,Univerisity,,2015.0,Platinum,2016.0,New Building for Non-Residential buildings (version 4.1),,,,,Water Cooled Chilled Water Plant,1.0,,,15.0,N,639816,1.34320017109475,103.68265767645,WESTERN WATER CATCHMENT
"48 NANYANG AVENUE, SINGAPORE639818",,,,,,,Educational Institution,Univerisity,,2009.0,Platinum,2019.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,6.0,0.64,,100.0,Y,639818,1.34367154573919,103.683139601617,WESTERN WATER CATCHMENT
"46 NANYANG AVENUE, SINGAPORE639817",,,,,,,Educational Institution,Univerisity,,1954.0,Platinum,2020.0,Existing Non-Residental Buildings ENRB: 2017,,,,,Others,16.0,,,100.0,N,639817,1.34380513626445,103.684005239675,WESTERN WATER CATCHMENT
"1C CLUNY ROAD, SINGAPORE 259599",,,,,,,Educational Institution,Univerisity,,1928.0,,,,,,,,Others,7.0,,,0.0,N,259599,1.31754691703161,103.816880707927,TANGLIN
"172A ANG MO KIO AVENUE 8, SINGAPORE 567739",,,,,,,Educational Institution,Univerisity,,2015.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,5.0,0.62,2020-01-08,10.0,N,567739,1.37742633496685,103.848699347584,ANG MO KIO
"537 CLEMENTI ROAD, SINGAPORE 599493",,,,,,,Educational Institution,Univerisity,,2014.0,Platinum,2020.0,New Building for Non-Residential buildings (version 4),,,,,Water Cooled Chilled Water Plant,6.0,0.62,2019-06-16,38.0,N,599493,1.33421183391663,103.774480553372,BUKIT TIMAH
"16 COLLEGE AVENUE WEST, SINGAPORE 138527",,,,,,,Educational Institution,Univerisity,,2015.0,Platinum,2021.0,New Building for Non-Residential buildings (version 4),,,,,District Cooling Plant,0.0,,,94.0,N,138527,1.30630452078538,103.771789872765,QUEENSTOWN
"1 RESEARCH LINK, SINGAPORE 117604",,,,,,,Educational Institution,Univerisity,,1998.0,,,,,,,,Water Cooled Chilled Water Plant,19.0,,,10.0,N,117604,1.29436297559381,103.776939110397,QUEENSTOWN
"81 VICTORIA STREET, SINGAPORE 188065",,,,,,,Educational Institution,Univerisity,,2005.0,Platinum,2022.0,Existing Building for Non-Residential buildings (version 3),,,,,Water Cooled Chilled Water Plant,8.0,0.56,2017-12-11,1.0,N,188065,1.29687999486476,103.852260737906,ROCHOR
"20 EVANS ROAD, SINGAPORE 259365",,,,,,,Educational Institution,Univerisity,,2016.0,,,,,,,,Water Cooled Packaged Unit,3.0,,,100.0,N,259365,1.3180479698835,103.81992629153,TANGLIN
"12 KENT RIDGE CRESCENT, SINGAPORE 119275",,,,,,,Educational Institution,Univerisity,,1977.0,,,,,,,,District Cooling Plant,6.0,0.57,2021-03-24,0.0,N,119275,1.29672886913489,103.773151754394,QUEENSTOWN
"15 KENT RIDGE ROAD, SINGAPORE 119225",,,,,,,Educational Institution,Univerisity,,1977.0,,,,,,,,District Cooling Plant,6.0,0.57,2021-03-24,0.0,N,119225,1.29699177823358,103.77375787551,QUEENSTOWN
"18 KENT RIDGE ROAD, SINGAPORE 119227",,,,,,,Educational Institution,Univerisity,,2009.0,,,,,,,,Others,5.0,,,0.0,N,119227,1.29758013980349,103.774252891764,QUEENSTOWN
"31 LOWER KENT RIDGE ROAD, SINGAPORE 119078",,,,,,,Educational Institution,Univerisity,,1977.0,,,,,,,,Others,5.0,,,0.0,N,119078,1.29845170729154,103.775151993471,QUEENSTOWN
"20 LOWER KENT RIDGE ROAD, SINGAPORE 119080",,,,,,,Educational Institution,Univerisity,,1979.0,,,,,,,,Others,10.0,,,0.0,N,119080,1.29903522873282,103.776523307961,QUEENSTOWN
"1 ARTS LINK, SINGAPORE 117568",,,,,,,Educational Institution,Univerisity,,1980.0,,,,,,,,District Cooling Plant,7.0,,,0.0,N,117568,1.29496551328462,103.77122156673,QUEENSTOWN
"3 ARTS LINK, SINGAPORE 117569",,,,,,,Educational Institution,Univerisity,,1981.0,,,,,,,,District Cooling Plant,6.0,0.57,2021-03-24,0.0,N,117569,1.29496551328462,103.77122156673,QUEENSTOWN
"5 ARTS LINK, SINGAPORE 117570",,,,,,,Educational Institution,Univerisity,,1993.0,,,,,,,,Others,5.0,,,0.0,N,117570,1.29449084855778,103.770991361876,QUEENSTOWN
"7 ARTS LINK, SINGAPORE 117571",,,,,,,Educational Institution,Univerisity,,1981.0,,,,,,,,District Cooling Plant,6.0,0.57,2021-03-24,0.0,N,117571,1.29423438035197,103.771816993893,QUEENSTOWN
"9 ARTS LINK, SINGAPORE 117572",,,,,,,Educational Institution,Univerisity,,1980.0,,,,,,,,District Cooling Plant,6.0,0.57,2021-03-24,0.0,N,117572,1.29454076434957,103.771694818079,QUEENSTOWN
"11 ARTS LINK, SINGAPORE 117573",,,,,,,Educational Institution,Univerisity,,1980.0,,,,,,,,District Cooling Plant,6.0,0.57,2021-03-24,0.0,N,117573,1.29492177429015,103.772046740671,QUEENSTOWN
"8 KENT RIDGE DRIVE, SINGAPORE 119246",,,,,,,Educational Institution,Univerisity,,2013.0,Platinum,2013.0,New Building for Non-Residential buildings (version 4),,,,,District Cooling Plant,6.0,,,0.0,N,119246,1.29532940468565,103.770208663018,QUEENSTOWN
"17 KENT RIDGE CRESCENT, SINGAPORE 119277",,,,,,,Educational Institution,Univerisity,,1985.0,,,,,,,,Others,5.0,,,0.0,N,119277,1.29920050155205,103.773749671208,QUEENSTOWN
"50 KENT RIDGE CRESCENT, SINGAPORE 119279",,,,,,,Educational Institution,Univerisity,,2000.0,Certified,2018.0,Existing Building for Non-Residential buildings (version 3),,,,,District Cooling Plant,19.0,0.8,2019-06-24,0.0,N,119279,1.30177617341703,103.772111946135,QUEENSTOWN
"3 CONSERVATORY DRIVE, SINGAPORE 117376",,,,,,,Educational Institution,Univerisity,,2006.0,,,,,,,,District Cooling Plant,16.0,0.8,2019-06-24,0.0,N,117376,1.30217247368966,103.772946870156,QUEENSTOWN
"2 MEDICAL DRIVE, SINGAPORE 117593",,,,,,,Educational Institution,Univerisity,,1981.0,Platinum,2013.0,Existing Building for Non-Residential buildings (version 3),,,,,District Cooling Plant,8.0,0.59,2018-09-14,0.0,N,117593,1.29667453641748,103.781445379106,QUEENSTOWN
"4 MEDICAL DRIVE, SINGAPORE 117594",,,,,,,Educational Institution,Univerisity,,1981.0,Platinum,2021.0,Existing Non-Residental Buildings ENRB: 2017,,,,,District Cooling Plant,7.0,,,80.0,N,117594,1.29653161348254,103.781810928686,QUEENSTOWN
"8 MEDICAL DRIVE, SINGAPORE 117596",,,,,,,Educational Institution,Univerisity,,1981.0,Gold,2021.0,Existing Non-Residental Buildings ENRB: 2017,,,,,District Cooling Plant,8.0,,,80.0,N,117596,1.29610988195699,103.781092697339,QUEENSTOWN
"10 MEDICAL DRIVE, SINGAPORE 117597",,,,,,,Educational Institution,Univerisity,,1995.0,Platinum,2015.0,Existing Building for Non-Residential buildings (version 3),,,,,District Cooling Plant,7.0,0.6,2018-09-25,80.0,N,117597,1.29598911103164,103.781784216061,QUEENSTOWN
"14 MEDICAL DRIVE, SINGAPORE 117599",,,,,,,Educational Institution,Univerisity,,2011.0,Gold,2021.0,Existing Non-Residental Buildings ENRB: 2017,,,,,District Cooling Plant,7.0,,,80.0,N,117599,1.29514416794656,103.781185628066,QUEENSTOWN
"16 MEDICAL DRIVE, SINGAPORE 117600",,,,,,,Educational Institution,Univerisity,,1997.0,Platinum,2021.0,Existing Non-Residental Buildings ENRB: 2017,,,,,District Cooling Plant,7.0,0.76,,100.0,N,117600,1.29534636092995,103.781088951623,QUEENSTOWN
"18 MEDICAL DRIVE, SINGAPORE 117601",,,,,,,Educational Institution,Univerisity,,2008.0,Platinum,2021.0,Existing Non-Residental Buildings ENRB: 2017,,,,,District Cooling Plant,7.0,,,80.0,N,117601,1.29493985990364,103.781167038957,QUEENSTOWN
"12 SCIENCE DRIVE 4, SINGAPORE 117556",,,,,,,Educational Institution,Univerisity,,1981.0,,,,,,,,District Cooling Plant,7.0,0.6,2018-09-14,0.0,N,117556,1.29546718144446,103.779773950198,QUEENSTOWN
"14 SCIENCE DRIVE 4, SINGAPORE 117557",,,,,,,Educational Institution,Univerisity,,1981.0,,,,,,,,District Cooling Plant,7.0,0.59,2018-09-14,40.0,N,117557,1.29554616220013,103.778091730174,QUEENSTOWN
"16 SCIENCE DRIVE 4, SINGAPORE 117558",,,,,,,Educational Institution,Univerisity,,1981.0,,,,,,,,District Cooling Plant,7.0,0.59,2018-09-14,50.0,N,117558,1.29546718144446,103.779773950198,QUEENSTOWN
"18 SCIENCE DRIVE 4, SINGAPORE 117559",,,,,,,Educational Institution,Univerisity,,1981.0,,,,,,,,District Cooling Plant,7.0,0.6,2018-09-14,40.0,N,117559,1.29566819863815,103.779074788001,QUEENSTOWN
"20 SCIENCE DRIVE 4, SINGAPORE 117560",,,,,,,Educational Institution,Univerisity,,1996.0,,,,,,,,District Cooling Plant,7.0,0.59,2018-09-14,0.0,N,117560,1.29586896105856,103.779145697421,QUEENSTOWN
"8 COLLEGE ROAD, SINGAPORE 169857",,,,,,,Educational Institution,Univerisity,,2009.0,Certified,2022.0,Existing Building for Non-Residential buildings (version 2.1),,,,,Water Cooled Chilled Water Plant,9.0,0.74,2016-09-29,0.0,N,169857,1.28121772061506,103.834144730406,BUKIT MERAH
"469 BUKIT TIMAH ROAD, SINGAPORE 259756",,,,,,,Educational Institution,Univerisity,,2001.0,Gold,2021.0,Existing Non-Residental Buildings ENRB: 2017,,,,,District Cooling Plant,1.0,0.57,2021-02-22,0.0,N,259756,1.31903566169202,103.816946632962,TANGLIN
"469B BUKIT TIMAH ROAD, SINGAPORE 259771",,,,,,,Educational Institution,Univerisity,,1976.0,Gold,2021.0,Existing Non-Residental Buildings ENRB: 2017,,,,,District Cooling Plant,19.0,0.57,2021-02-22,0.0,N,259771,1.31834209954134,103.817395994437,TANGLIN
"469C BUKIT TIMAH ROAD, SINGAPORE 259772",,,,,,,Educational Institution,Univerisity,,1976.0,Gold,2021.0,Existing Non-Residental Buildings ENRB: 2017,,,,,District Cooling Plant,1.0,0.57,2021-02-22,0.0,N,259772,1.31937299299376,103.817893813408,TANGLIN
"469D BUKIT TIMAH ROAD, SINGAPORE 259773",,,,,,,Educational Institution,Univerisity,,1976.0,,,,,,,,District Cooling Plant,1.0,0.57,2021-02-22,0.0,N,259773,1.31878582749706,103.818138100609,TANGLIN
"469E BUKIT TIMAH ROAD, SINGAPORE 259774",,,,,,,Educational Institution,Univerisity,,1976.0,,,,,,,,District Cooling Plant,1.0,0.57,2021-02-22,0.0,N,259774,1.31899166733595,103.817621804187,TANGLIN
"469F BUKIT TIMAH ROAD, SINGAPORE 259775",,,,,,,Educational Institution,Univerisity,,1976.0,,,,,,,,District Cooling Plant,1.0,0.57,2021-02-22,0.0,N,259775,1.31838400183786,103.817450880584,TANGLIN
"469G BUKIT TIMAH ROAD, SINGAPORE 259776",,,,,,,Educational Institution,Univerisity,,1976.0,,,,,,,,District Cooling Plant,1.0,0.57,2021-02-22,0.0,N,259776,1.31832497244864,103.816827255964,TANGLIN
"10 ARCHITECTURE DRIVE, SINGAPORE 117511",,,,,,,Educational Institution,Univerisity,,2003.0,,,,,,,,District Cooling Plant,5.0,0.6,2017-01-13,0.0,N,117511,1.2969901636227,103.771406543071,QUEENSTOWN
"1 SCIENCE DRIVE 2, SINGAPORE 117541",,,,,,,Educational Institution,Univerisity,,1986.0,,,,,,,,District Cooling Plant,8.0,0.59,2018-09-14,0.0,N,117541,1.2971588489482,103.780197588142,QUEENSTOWN
"2 SCIENCE DRIVE 2, SINGAPORE 117542",,,,,,,Educational Institution,Univerisity,,1986.0,,,,,,,,District Cooling Plant,8.0,0.59,2018-09-14,20.0,N,117542,1.29546718144446,103.779773950198,QUEENSTOWN
"3 SCIENCE DRIVE 2, SINGAPORE 117543",,,,,,,Educational Institution,Univerisity,,1993.0,,,,,,,,District Cooling Plant,7.0,0.59,2018-09-14,0.0,N,117543,1.29686093603155,103.780360743234,QUEENSTOWN
"5 SCIENCE DRIVE 2, SINGAPORE 117545",,,,,,,Educational Institution,Univerisity,,1981.0,Platinum,2013.0,Existing Building for Non-Residential buildings (version 3),,,,,District Cooling Plant,7.0,0.6,2018-09-25,0.0,N,117545,1.29577464818418,103.780976467655,QUEENSTOWN
"6 SCIENCE DRIVE 2, SINGAPORE 117546",,,,,,,Educational Institution,Univerisity,,1993.0,Platinum,2021.0,GM: 2021 In Operation,,,,,District Cooling Plant,7.0,0.59,2018-09-14,100.0,N,117546,1.29636574998525,103.779676981295,QUEENSTOWN
"8 SCIENCE DRIVE 2, SINGAPORE 117547",,,,,,,Educational Institution,Univerisity,,1986.0,,,,,,,,District Cooling Plant,8.0,0.59,2018-09-14,0.0,N,117547,1.29550596695774,103.779659555176,QUEENSTOWN
"10 SCIENCE DRIVE 2, SINGAPORE 117548",,,,,,,Educational Institution,Univerisity,,1986.0,,,,,,,,District Cooling Plant,7.0,0.59,2018-09-14,0.0,N,117548,1.29546718144446,103.779773950198,QUEENSTOWN
"12 SCIENCE DRIVE 2, SINGAPORE 117549",,,,,,,Educational Institution,Univerisity,,2014.0,Platinum,2021.0,New Building for Non-Residential buildings (version 3),,,,,District Cooling Plant,7.0,0.6,2018-09-14,60.0,N,117549,1.2953872642537,103.780509996916,QUEENSTOWN
"1 SCIENCE DRIVE 3, SINGAPORE 117550",,,,,,,Educational Institution,Univerisity,,1986.0,,,,,,,,District Cooling Plant,7.0,0.59,2018-09-14,0.0,N,117550,1.29546718144446,103.779773950198,QUEENSTOWN
"2 SCIENCE DRIVE 3, SINGAPORE 117551",,,,,,,Educational Institution,Univerisity,,1981.0,,,,,,,,District Cooling Plant,8.0,0.59,2018-09-14,20.0,N,117551,1.29546718144446,103.779773950198,QUEENSTOWN
"3 SCIENCE DRIVE 3, SINGAPORE 117552",,,,,,,Educational Institution,Univerisity,,1981.0,,,,,,,,District Cooling Plant,6.0,0.59,2018-09-14,100.0,N,117552,1.29546718144446,103.779773950198,QUEENSTOWN
"4 SCIENCE DRIVE 3, SINGAPORE 117553",,,,,,,Educational Institution,Univerisity,,1981.0,,,,,,,,District Cooling Plant,6.0,0.59,2018-09-14,0.0,N,117553,1.29672227778565,103.778699307174,QUEENSTOWN
"6 SCIENCE DRIVE 3, SINGAPORE 117554",,,,,,,Educational Institution,Univerisity,,1981.0,,,,,,,,District Cooling Plant,6.0,0.59,2018-09-14,100.0,N,117554,1.29640633700319,103.778815552972,QUEENSTOWN
"10 SCIENCE DRIVE 4, SINGAPORE 117555",,,,,,,Educational Institution,Univerisity,,1991.0,,,,,,,,District Cooling Plant,7.0,0.59,2018-09-14,0.0,N,117555,1.29608888038316,103.778256889617,QUEENSTOWN
"25 HENG MUI KENG TERRACE, SINGAPORE 119615",,,,,,,Educational Institution,Univerisity,,2001.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),,,,,Others,5.0,,,0.0,N,119615,1.29214851229716,103.776550885502,QUEENSTOWN
"21 HENG MUI KENG TERRACE, SINGAPORE 119613",,,,,,,Educational Institution,Univerisity,,1984.0,,,,,,,,District Cooling Plant,25.0,1.0,2019-04-16,100.0,N,119613,1.29229699635911,103.775867131232,QUEENSTOWN
"2 COLLEGE AVENUE WEST, SINGAPORE 138607",,,,,,,Educational Institution,Univerisity,,2012.0,Platinum,2021.0,New Building for Non-Residential buildings (version 3),,,,,District Cooling Plant,8.0,,,0.0,N,138607,1.30468715591358,103.772449740167,QUEENSTOWN
"8 COLLEGE AVENUE WEST, SINGAPORE 138608",,,,,,,Educational Institution,Univerisity,,2014.0,Platinum,2021.0,Existing Building for Non-Residential buildings (version 3),,,,,District Cooling Plant,9.0,0.8,2015-04-02,80.0,N,138608,1.30547903926184,103.773230602745,QUEENSTOWN
"16 EVANS ROAD, SINGAPORE 259363",,,,,,,Educational Institution,Univerisity,,1936.0,,,,,,,,Others,1.0,,,100.0,N,259363,1.31748584015702,103.819633015354,TANGLIN
"18 EVANS ROAD, SINGAPORE 259364",,,,,,,Educational Institution,Univerisity,,1936.0,,,,,,,,Others,4.0,,,0.0,N,259364,1.31779740459588,103.819774670165,TANGLIN
"11 KENT RIDGE DRIVE, SINGAPORE 119244",,,,,,,Educational Institution,Univerisity,,2010.0,,,,,,,,District Cooling Plant,14.0,1.0,2019-04-16,0.0,N,119244,1.29369438514723,103.773283603907,QUEENSTOWN
"15 KENT RIDGE DRIVE, SINGAPORE 119245",,,,,,,Educational Institution,Univerisity,,2009.0,Gold,2015.0,Existing Building for Non-Residential buildings (version 3),,,,,District Cooling Plant,24.0,1.0,2019-04-16,0.0,N,119245,1.29252222913047,103.774133418277,QUEENSTOWN
