Address,2019 EUI,"2019 EUI Quartile
(Top being the least energy intensive quartile)",2020 EUI,"2020 EUI Quartile
(Top being the least energy intensive quartile)",2021 EUI,"2021 EUI Quartile 
(Top being the least energy intensive quartile)",Building Type,Main Function,Building Size,TOP/CSC Year,Green Mark Award,Year of Green Mark Award,Green Mark Version,GFA,AC Area,AC Area Percentage,No. Of Hotel Rooms,Type of Air-conditioning System,Age  of Chiller,Air-con system efficiency (kW/RT),Date of Last Audit/Health Check,LED Percentage Usage,Installation of Solar PV,Remarks,postal_code,lat,lon,plan_area
"491 RIVER VALLEY ROAD, SINGAPORE 248371",423.67710966985453,Bottom,384.91865086875873,Bottom,399.588613392891,Bottom,Commercial Building,Office,Large,1998.0,Gold,2022.0,GM: 2021 In Operation,26417.0,26000.0,0.952695027664798,0.0,Others,3.0,0.97,2015-10-21,100.0,N,,248371,1.2930991715203,103.827046215651,TANGLIN
"2 HARBOURFRONT PLACE, SINGAPORE 098499",410.21151307103247,Bottom,347.65381568523895,Bottom,396.51403925710764,Bottom,Commercial Building,Office,Large,2008.0,GoldPlus,2021.0,Existing Building for Non-Residential buildings (version 3),22722.0,21106.0,0.9288795000440102,0.0,Water Cooled Chilled Water Plant,13.0,0.64,2020-09-30,30.0,Y,Office Building with Non-Typical Activity (e.g. Industrial Function),098499,1.26581280840254,103.818868952573,BUKIT MERAH
"750 CHAI CHEE ROAD, SINGAPORE 469000",407.91950225957237,Bottom,520.5202390705085,Bottom,360.1759734491438,Bottom,Commercial Building,Office,Large,2017.0,Legislated,2017.0,,141841.0,105167.0,0.7414428832284037,0.0,Water Cooled Chilled Water Plant,2.0,0.62,2017-03-01,30.0,N,,469000,1.32365172481192,103.922102955664,BEDOK
"63 MARKET STREET, SINGAPORE 048942",457.8072558139535,Bottom,377.9525690834473,Bottom,343.66616689466485,Bottom,Commercial Building,Office,Large,2000.0,Certified,2021.0,Existing Non-Residental Buildings ENRB: 2017,18275.0,18075.0,0.9890560875512996,0.0,Others,11.0,,,70.0,N,,048942,1.28429423831109,103.850618904219,DOWNTOWN CORE
"1 SCOTTS ROAD, SINGAPORE 228208",360.0263562861819,Bottom,317.6380712767776,Bottom,327.99785046044116,Bottom,Commercial Building,Office,Large,1975.0,Gold,2021.0,Existing Building for Non-Residential buildings (version 3),40939.0,35950.0,0.8781357629644104,0.0,Water Cooled Chilled Water Plant,10.0,0.65,2021-07-02,49.0,N,,228208,1.30618594739077,103.831980208498,ORCHARD
"31 EXETER ROAD, SINGAPORE 239732",358.5132190697586,Bottom,328.6809226196147,Bottom,315.5146433947524,Bottom,Commercial Building,Office,Large,1981.0,,,,104962.0,83076.0,0.7914864427126007,0.0,Water Cooled Chilled Water Plant,11.0,0.72,2014-11-30,50.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),239732,1.29897550209371,103.83840639869,ORCHARD
"41 SCIENCE PARK ROAD, SINGAPORE 117610",316.0363461951025,Bottom,277.1911259922155,Bottom,304.9864592846854,Bottom,Commercial Building,Office,Large,1998.0,Certified,2020.0,Existing Non-Residental Buildings ENRB: 2017,32629.0,26802.0,0.8214165313065065,0.0,Others,4.0,,,100.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),117610,1.28874338578167,103.782835762303,QUEENSTOWN
"28 IRRAWADDY ROAD, SINGAPORE 329560",332.0570182963135,Bottom,319.10667971864245,Bottom,304.78687267259386,Bottom,Commercial Building,Office,Large,2001.0,Platinum,2019.0,Existing Non-Residental Buildings ENRB: 2017,99091.0,77451.0,0.7816148792524044,0.0,Water Cooled Chilled Water Plant,16.0,1.11,2013-04-23,0.0,Y,Office Building with Non-Typical Activity (e.g. Industrial Function),329560,1.32424705197326,103.845062688126,NOVENA
"1 GATEWAY DRIVE, SINGAPORE 608531",337.8161484805308,Bottom,289.32588839504075,Bottom,303.54432937073346,Bottom,Commercial Building,Office,Large,2014.0,Platinum,2018.0,New Building for Non-Residential buildings (version 4.1),94046.0,68182.0,0.7249856453225018,0.0,Others,0.0,,,80.0,N,,608531,1.33459925741287,103.74294445162,JURONG EAST
"10 KALLANG ROAD, SINGAPORE 208718",340.1659483328486,Bottom,343.40363309447633,Bottom,300.4117507073164,Bottom,Commercial Building,Office,Large,1997.0,,,,37819.0,37819.0,1,0.0,Water Cooled Chilled Water Plant,5.0,,,92.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),208718,1.30663469653195,103.862772815008,KALLANG
"4 FUSIONOPOLIS WAY, SINGAPORE 138635",304.50314101983514,Bottom,290.5293853213779,Bottom,299.40596443558854,Bottom,Commercial Building,Office,Large,2015.0,Platinum,2020.0,New Building for Non-Residential buildings (version 3),33123.0,26327.0,0.7948253479455364,0.0,Others,0.0,0.62,2020-01-10,10.0,N,,138635,1.29814278430466,103.789148552727,QUEENSTOWN
"1 CLEANTECH LOOP, SINGAPORE 637141",302.22013923611115,Bottom,289.6222684027777,Bottom,298.3046902777778,Bottom,Commercial Building,Office,Large,2012.0,Platinum,2021.0,New Building for Non-Residential buildings (version 3),28800.0,20897.0,0.7255902777777777,0.0,Water Cooled Chilled Water Plant,10.0,0.65,,90.0,Y,Office Building with Non-Typical Activity (e.g. Industrial Function),637141,1.35539828173454,103.69237945253,WESTERN WATER CATCHMENT
"4 BATTERY ROAD, SINGAPORE 049908",353.8460465116279,Bottom,301.9750904392765,Bottom,295.50542635658917,Bottom,Commercial Building,Office,Large,1953.0,,,,15480.0,15480.0,1,0.0,Others,2.0,,,12.0,N,,049908,1.28578489612351,103.852220034954,DOWNTOWN CORE
"21 MEDIA CIRCLE, SINGAPORE 138562",324.05272407732866,Bottom,297.461457723101,Bottom,294.98093634055846,Bottom,Commercial Building,Office,Large,2014.0,GoldPlus,2019.0,New Building for Non-Residential buildings (version 4),20484.0,18058.0,0.8815661003710212,0.0,Water Cooled Chilled Water Plant,9.0,0.64,2021-09-13,28.0,N,,138562,1.29238424432587,103.794685834653,QUEENSTOWN
"80 MARINE PARADE ROAD, SINGAPORE 449269",326.11017583727227,Bottom,249.48347361935933,Bottom,287.77282824304126,Bottom,Commercial Building,Office,Large,1983.0,Platinum,2022.0,Existing Building for Non-Residential buildings (version 2.1),99012.0,78000.0,0.7877832989940613,0.0,Water Cooled Chilled Water Plant,7.0,0.7,2019-03-30,60.0,N,,449269,1.30115259939855,103.905281816778,MARINE PARADE
"23 CHURCH STREET, SINGAPORE 049481",348.24342468781083,Bottom,298.4283898773345,Bottom,281.0343546248204,Bottom,Commercial Building,Office,Large,1998.0,GoldPlus,2021.0,Existing Building for Non-Residential buildings (version 3),36196.0,31200.0,0.8619736987512432,0.0,Water Cooled Chilled Water Plant,4.0,0.6,2016-08-29,30.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),049481,1.28362986367061,103.849100725691,OUTRAM
"1 TAMPINES CENTRAL 5, SINGAPORE 529508",356.1229663687222,Bottom,296.0287518487557,Bottom,280.99215098707475,Bottom,Commercial Building,Office,Large,1997.0,GoldPlus,2021.0,Existing Non-Residental Buildings ENRB: 2017,15551.0,13873.0,0.8920969712558678,0.0,Water Cooled Chilled Water Plant,1.0,0.62,2019-04-01,15.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),529508,1.35311433690453,103.943702415776,TAMPINES
"1 RAFFLES LINK, SINGAPORE 039393",376.34125551267914,Bottom,296.74744349503857,Bottom,278.6431091510474,Bottom,Commercial Building,Office,Large,1999.0,Platinum,2020.0,Existing Non-Residental Buildings ENRB: 2017,36280.0,30698.0,0.8461411245865491,0.0,Water Cooled Chilled Water Plant,21.0,0.65,2021-03-28,80.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),039393,1.2920291636627,103.855879205641,DOWNTOWN CORE
"50 COLLYER QUAY, SINGAPORE 049321",288.1138442521632,Bottom,271.5194066749073,Bottom,276.22927070457354,Bottom,Commercial Building,Office,Large,2011.0,Gold,2022.0,Existing Building for Non-Residential buildings (version 2.1),40450.0,36312.0,0.8977008652657602,0.0,Water Cooled Chilled Water Plant,9.0,0.75,2019-02-22,85.0,N,,049321,1.28316691041157,103.852968257556,DOWNTOWN CORE
"1 SCIENCE PARK ROAD, SINGAPORE 117528",258.0460107684777,3rd,264.2544954898259,Bottom,275.80436927487585,Bottom,Commercial Building,Office,Large,2001.0,,,,28602.0,21659.0,0.7572547374309488,0.0,Water Cooled Chilled Water Plant,6.0,0.61,,0.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),117528,1.28945419226448,103.778326622956,QUEENSTOWN
"984 UPPER CHANGI ROAD NORTH, SINGAPORE 506969",283.9112683146277,Bottom,212.43334366303083,Bottom,275.70515048115334,Bottom,Commercial Building,Office,Large,2009.0,Legislated,2015.0,,383038.0,95204.0,0.24614445900910334,0.0,Others,12.0,,,10.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),506969,1.35817565889842,103.973191628726,CHANGI
"12 SCIENCE PARK DRIVE, SINGAPORE 118225",265.4397361463551,3rd,249.44434627801618,Bottom,267.97135606956385,Bottom,Commercial Building,Office,Large,2013.0,GoldPlus,2013.0,New Building for Non-Residential buildings (version 4),75269.0,51616.0,0.6857537631694323,0.0,Water Cooled Chilled Water Plant,7.0,0.65,,100.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),118225,1.28959031017024,103.786921106765,QUEENSTOWN
"3 FRASER STREET, SINGAPORE 189352",298.3607613469985,Bottom,255.47454507425226,Bottom,257.39518929094334,Bottom,Commercial Building,Office,Large,2017.0,Platinum,2022.0,New Building for Non-Residential buildings (version 4.0),71715.0,59299.0,0.8268702502963118,0.0,Water Cooled Chilled Water Plant,2.0,0.59,,0.0,N,,189352,1.2991629599519,103.857859536675,DOWNTOWN CORE
"20 JALAN AFIFI, SINGAPORE 409179",338.21839266450917,Bottom,329.9660913340525,Bottom,252.48380079108233,Bottom,Commercial Building,Office,Large,1986.0,,,,27810.0,19290.0,0.6936353829557713,0.0,Water Cooled Chilled Water Plant,11.0,0.8,2015-12-01,0.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),409179,1.32241753830632,103.892055568042,GEYLANG
"350 ORCHARD ROAD, SINGAPORE 238868",258.1194544120046,3rd,225.98765495025282,Bottom,237.47619678682108,Bottom,Commercial Building,Office,Large,1993.0,Gold,2021.0,Existing Building for Non-Residential buildings (version 3),49048.0,26199.0,0.5341502201924645,0.0,Others,0.0,0.65,2016-05-08,40.0,N,,238868,1.30580981580562,103.831507365654,ORCHARD
"360 ORCHARD ROAD, SINGAPORE 238869",277.32943922117755,Bottom,239.85549276521968,Bottom,236.34577615523108,Bottom,Commercial Building,Office,Large,1990.0,GoldPlus,2019.0,Existing Building for Non-Residential buildings (version 3),29994.0,25407.0,0.8470694138827766,610.0,Water Cooled Chilled Water Plant,4.0,0.6,,40.0,N,,238869,1.30607515954354,103.831003321455,ORCHARD
"80 RAFFLES PLACE, SINGAPORE 048624",270.11209488139826,Bottom,237.65151061173532,Bottom,231.18010986267166,Bottom,Commercial Building,Office,Large,1992.0,GoldPlus,2022.0,Existing Building for Non-Residential buildings (version 3),100125.0,65454.0,0.6537228464419476,0.0,Water Cooled Chilled Water Plant,5.0,0.65,2015-02-15,30.0,N,,048624,1.28547360879559,103.850332786212,DOWNTOWN CORE
"7 WALLICH STREET, SINGAPORE 078884",252.20771472179825,3rd,326.8923423215084,Bottom,226.47304318332485,Bottom,Commercial Building,Office,Large,2016.0,Platinum,2020.0,New Building for Non-Residential buildings (version 4),129726.0,115000.0,0.8864838197431509,223.0,Water Cooled Chilled Water Plant,3.0,0.65,2018-05-17,37.0,Y,,078884,1.27672492702287,103.845155395387,DOWNTOWN CORE
"60 PAYA LEBAR ROAD, SINGAPORE 409051",249.58484865828333,3rd,213.31976800154024,Bottom,218.06505102040816,Bottom,Commercial Building,Office,Large,2014.0,GoldPlus,2021.0,New Building for Non-Residential buildings (version 4),62328.0,57395.0,0.9385475773878632,0.0,Others,0.0,0.58,2020-10-09,19.0,N,,409051,1.31881486980278,103.892580778242,GEYLANG
"24 RAFFLES PLACE, SINGAPORE 048621",259.1129414447037,3rd,222.85085539550974,Bottom,216.45435100989783,Bottom,Commercial Building,Office,Large,1977.0,,,,37281.0,27950.0,0.7497116493656286,0.0,Others,0.0,0.89,2009-04-11,0.0,N,,048621,1.28385698427206,103.852128173355,DOWNTOWN CORE
"20 PICKERING STREET, SINGAPORE 048658",259.4697048611111,3rd,222.24270833333333,Bottom,215.66996527777778,Bottom,Commercial Building,Office,Large,1989.0,,,,34560.0,18000.0,0.5208333333333334,0.0,Water Cooled Chilled Water Plant,2.0,0.57,2019-05-31,73.0,N,,048658,1.28518223321565,103.848183725141,DOWNTOWN CORE
"391 NEW BRIDGE ROAD, SINGAPORE 088762",225.4318190330827,3rd,216.8631745526392,Bottom,214.4199385727529,Bottom,Commercial Building,Office,Large,2001.0,Platinum,2019.0,Existing Building for Non-Residential buildings (version 3),106793.0,27600.0,0.25844390549942414,0.0,Water Cooled Chilled Water Plant,2.0,0.52,2019-08-22,1.0,N,,088762,1.27843419194368,103.839234476156,BUKIT MERAH
"16 RAFFLES QUAY, SINGAPORE 048581",269.83866454423594,3rd,224.28979704256034,Bottom,212.5648433310992,Bottom,Commercial Building,Office,Large,1980.0,,,,47744.0,44136.0,0.9244302949061662,0.0,Water Cooled Chilled Water Plant,11.0,0.7,2020-04-01,62.0,N,,048581,1.28136359915756,103.850914468583,DOWNTOWN CORE
"1 SHERWOOD ROAD, SINGAPORE 248163",234.24486533644782,3rd,204.28530098781414,3rd,212.43659696620043,Bottom,Commercial Building,Office,Large,2003.0,Gold,2020.0,Existing Non-Residental Buildings ENRB: 2017,35533.0,26754.0,0.7529338924380153,0.0,Water Cooled Chilled Water Plant,2.0,0.59,2016-05-25,85.0,N,,248163,1.30403314416732,103.817387551265,TANGLIN
"3 TAMPINES GRANDE, SINGAPORE 528799",267.75024437927664,3rd,207.08830237862495,3rd,211.63554903877485,Bottom,Commercial Building,Office,Large,2002.0,Certified,2021.0,Existing Building for Non-Residential buildings (version 3),15345.0,13475.0,0.8781362007168458,0.0,Others,7.0,0.87,,25.0,N,,528799,1.35463349614222,103.941891421933,TAMPINES
"900 SOUTH WOODLANDS DRIVE, SINGAPORE 730900",199.71277782126552,3rd,212.2200221787345,Bottom,209.7661628180039,Bottom,Commercial Building,Office,Large,1999.0,Platinum,2015.0,Existing Building for Non-Residential buildings (version 3),38325.0,30250.0,0.7893020221787345,0.0,Water Cooled Chilled Water Plant,6.0,0.6,,55.0,Y,,730900,1.43505698925938,103.787004308703,WOODLANDS
"2 BUKIT MERAH CENTRAL, SINGAPORE 159835",250.77561989861672,3rd,210.76349987112295,3rd,209.38686742847324,Bottom,Commercial Building,Office,Large,1988.0,,,,23278.0,22000.0,0.9450983761491537,0.0,Water Cooled Chilled Water Plant,17.0,,,5.0,N,,159835,1.28407802916981,103.813672735513,BUKIT MERAH
"109 PASIR PANJANG ROAD, SINGAPORE 118536",187.74401867340984,2nd,199.6013097322181,3rd,208.23964209297802,Bottom,Commercial Building,Office,Large,2001.0,,,,15423.0,8863.0,0.5746612202554626,0.0,Water Cooled Chilled Water Plant,15.0,,,10.0,N,,118536,1.27493139629834,103.793387821275,QUEENSTOWN
"1 TAMPINES WALK, SINGAPORE528523",217.51760674521674,3rd,215.4740407257126,Bottom,207.86436541723484,Bottom,Commercial Building,Office,Large,2016.0,Platinum,2020.0,New Building for Non-Residential buildings (version 4.1),120268.0,42473.0,0.35316764092031633,0.0,Water Cooled Chilled Water Plant,5.0,0.58,2019-11-20,40.0,Y,,528523,1.35291588606932,103.940197935055,TAMPINES
"490 LORONG 6 TOA PAYOH, SINGAPORE 310490",226.71285484000106,3rd,217.2691570631722,Bottom,205.1559193466599,Bottom,Commercial Building,Office,Large,2000.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),187345.0,122472.0,0.6537244121807361,0.0,Water Cooled Chilled Water Plant,7.0,0.63,2019-09-15,40.0,Y,,310490,1.33257202428232,103.848546835662,TOA PAYOH
"100 VICTORIA STREET, SINGAPORE 188064",216.06317472738715,3rd,188.46804007961487,3rd,201.28971981695386,Bottom,Commercial Building,Office,Large,2005.0,Platinum,2019.0,Existing Building for Non-Residential buildings (version 2.1),58783.0,58783.0,1,0.0,Water Cooled Chilled Water Plant,8.0,0.81,2016-09-01,48.0,N,,188064,1.29762605480882,103.854179013898,DOWNTOWN CORE
"18 CROSS STREET, SINGAPORE 048423",187.161534421063,2nd,202.55649847345785,3rd,201.0522307212501,Bottom,Commercial Building,Office,Large,2001.0,Gold,2016.0,Existing Building for Non-Residential buildings (version 2.1),60922.0,47650.0,0.7821476642263878,0.0,Water Cooled Chilled Water Plant,2.0,0.65,2019-07-30,23.0,N,,048423,1.28355426127583,103.846882908595,OUTRAM
"600 NORTH BRIDGE ROAD, SINGAPORE 188778",234.94101356356475,3rd,202.67163810059006,3rd,200.17869294234842,3rd,Commercial Building,Office,Large,2002.0,,,,39149.0,35234.0,0.8999974456563387,0.0,Water Cooled Chilled Water Plant,19.0,,,68.0,N,,188778,1.30019557614724,103.857615311375,DOWNTOWN CORE
"1 ROBINSON ROAD, SINGAPORE 048542",217.50634982979838,3rd,191.06163262634198,3rd,199.24024613773238,3rd,Commercial Building,Office,Large,1993.0,Certified,2019.0,Existing Building for Non-Residential buildings (version 3),15276.0,13814.0,0.9042943178842628,0.0,Water Cooled Chilled Water Plant,2.0,0.79,2018-11-22,15.0,N,,048542,1.28197962461374,103.851115026651,DOWNTOWN CORE
"331 NORTH BRIDGE ROAD, SINGAPORE 188720",226.63483387846446,3rd,200.45739369943192,3rd,198.76039335513858,3rd,Commercial Building,Office,Large,1992.0,,,,23236.0,18402.0,0.7919607505594767,0.0,Water Cooled Chilled Water Plant,11.0,,,0.0,N,,188720,1.29617995172042,103.853260592876,DOWNTOWN CORE
"11 COLLYER QUAY, SINGAPORE 049317",242.46970493777604,3rd,210.40291649939783,3rd,197.75843235648338,3rd,Commercial Building,Office,Large,1983.0,,,,19928.0,14629.0,0.7340927338418306,0.0,Water Cooled Packaged Unit,16.0,0.83,2017-07-12,0.0,N,,049317,1.28361982304995,103.852058865041,DOWNTOWN CORE
"6 RAFFLES QUAY, SINGAPORE 048580",249.1021036945048,3rd,210.41181310152126,3rd,196.3417342440236,3rd,Commercial Building,Office,Large,1992.0,,,,16105.0,16100.0,0.999689537410742,0.0,Others,5.0,1.27,2019-03-26,30.0,N,,048580,1.28181247914636,103.85138450513,DOWNTOWN CORE
"371 ALEXANDRA ROAD, SINGAPORE 159963",226.6495260264752,3rd,194.36260376935158,3rd,194.97972290778551,3rd,Commercial Building,Office,Large,1994.0,Certified,2020.0,Existing Building for Non-Residential buildings (version 3),17828.0,14601.0,0.8189925959165358,0.0,Air Cooled Chilled Water Plant,6.0,0.94,2017-01-05,30.0,N,,159963,1.28473749728194,103.802575200723,BUKIT MERAH
"1 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486036",226.37300444082183,3rd,199.87414275274742,3rd,192.81696365833778,3rd,Commercial Building,Office,Large,2012.0,GoldPlus,2019.0,New Building for Non-Residential buildings (version 3),71158.0,53000.0,0.7448213834003204,0.0,Water Cooled Chilled Water Plant,9.0,0.62,2019-03-27,100.0,N,,486036,1.33352582052952,103.962576462766,TAMPINES
"2 SHENTON WAY, SINGAPORE 068804",302.1092057135229,Bottom,270.8942731277533,Bottom,192.68866639967962,3rd,Commercial Building,Office,Large,2003.0,Platinum,2021.0,Existing Building for Non-Residential buildings (version 3),29964.0,28466.0,0.9500066746762782,0.0,Water Cooled Chilled Water Plant,0.0,0.6,2019-06-30,100.0,N,,068804,1.27938886508381,103.849846148733,DOWNTOWN CORE
"460 ALEXANDRA ROAD, SINGAPORE 119963",229.3755924670434,3rd,198.665672693032,3rd,192.30346327683617,3rd,Commercial Building,Office,Large,1986.0,GoldPlus,2018.0,Existing Building for Non-Residential buildings (version 2.1),79650.0,74819.0,0.9393471437539234,0.0,Water Cooled Chilled Water Plant,10.0,0.69,2021-04-20,62.0,N,,119963,1.27398639988204,103.801264139551,QUEENSTOWN
"3 QUEENSWAY, SINGAPORE 149073",183.9975556722689,2nd,183.92869275210083,3rd,192.19838392857142,3rd,Commercial Building,Office,Large,2005.0,,,,19040.0,9195.0,0.48293067226890757,0.0,Air Cooled Chilled Water Plant,12.0,,,0.0,N,,149073,1.2883831195166,103.802858171683,QUEENSTOWN
"4 SHENTON WAY, SINGAPORE 068807",329.4057892804699,Bottom,289.5712044453344,Bottom,191.5691943665732,3rd,Commercial Building,Office,Large,2003.0,Platinum,2021.0,Existing Building for Non-Residential buildings (version 3),29964.0,28464.0,0.9499399279134962,0.0,Water Cooled Chilled Water Plant,0.0,0.6,2019-06-30,100.0,N,,068807,1.27927719519315,103.849796993929,DOWNTOWN CORE
"1 SOPHIA ROAD, SINGAPORE 228149",255.87485081521737,3rd,195.6260654891304,3rd,190.43314347826083,3rd,Commercial Building,Office,Large,1979.0,,,,36800.0,33952.0,0.922608695652174,0.0,Water Cooled Chilled Water Plant,13.0,,,0.0,N,,228149,1.30121698594691,103.84956899814,ROCHOR
"2 SCIENCE PARK DRIVE, SINGAPORE 118222",218.02110774959274,3rd,186.14735862229463,3rd,190.31193856178731,3rd,Commercial Building,Office,Large,2016.0,Platinum,2022.0,New Building for Non-Residential buildings (version 4.1),51564.0,41400.0,0.802885734233186,0.0,Water Cooled Chilled Water Plant,5.0,0.55,2022-03-29,15.0,N,,118222,1.29076149216193,103.784855036172,QUEENSTOWN
"1 MARITIME SQUARE, SINGAPORE 099253",254.57852495950922,3rd,204.23678824455524,3rd,211.80560808548756,3rd,Commercial Building,Office,Large,1979.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),110519.0,79181.0,0.7164469457740298,0.0,Water Cooled Chilled Water Plant,11.0,0.65,2020-02-01,100.0,N,,099253,1.26447844519217,103.820315193363,BUKIT MERAH
"1 NORTH BUONA VISTA DRIVE, SINGAPORE 138675",207.03407214592357,3rd,182.50061189999806,3rd,188.81289457837175,3rd,Commercial Building,Office,Large,2000.0,Platinum,2017.0,Existing Building for Non-Residential buildings (version 3),51479.0,30615.0,0.5947085219215602,0.0,Water Cooled Chilled Water Plant,2.0,0.18,2018-10-22,39.0,N,,138675,1.3051016863664,103.790874313239,QUEENSTOWN
"190 MIDDLE ROAD, SINGAPORE 188979",202.4570940410055,3rd,195.84401462771268,3rd,188.4923843971064,3rd,Commercial Building,Office,Large,1985.0,Gold,2018.0,Existing Building for Non-Residential buildings (version 3),25021.0,20875.0,0.8342991886815075,0.0,Water Cooled Chilled Water Plant,3.0,6.9,2015-12-01,80.0,N,,188979,1.30041423392971,103.852292796726,ROCHOR
"168 ROBINSON ROAD, SINGAPORE 068912",246.10154884621423,3rd,209.6073674846947,3rd,185.4596515096018,3rd,Commercial Building,Office,Large,2000.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),95555.0,85459.0,0.8943435717649522,0.0,Water Cooled Chilled Water Plant,6.0,0.62,2020-11-18,25.0,N,,068912,1.27763073260823,103.847572724879,DOWNTOWN CORE
